id,name,sector,country,founded_year,is_validated,description,website,capitalization,capitalization_millions,headquarter_city,main_investors,funds_raised
326,ALFA AI,ICT,Germany,,0,Bringing human device interaction to the next level. Groundbreaking AI powered solutions for health and sports.,https://www.alfa-ai.com/,0,0.0,,,
195,AMC Robotics Corporation,ICT,United States,,0,,,110,110.0,,,
1618,AMD,,,,0,,,0,0.0,,,
345,AMEXIS,"ICT, Manufacturing, Operations",Germany,,0,Smart Production Scheduling with AI,https://www.amexis.io/,0,0.0,,,
229,AMI - Advanced Machine Intelligence,ICT,,,0,,,1 000,1000.0,,,
350,ANNEA,"Energy & Utilities, Operations",Germany,,0,Provides the next generation of condition-based predictive maintenance and underperformance detection for renewable energy assets,https://annea.ai/,0,0.0,,,
353,ANYO Labs,"ICT, R&D",Sweden,,0,ANYO Labs develops AI solutions in drug discovery.,https://www.anyolabs.com/,0,0.0,,,
1731,ARK Investment Management LLC,,,,0,,,0,0.0,,,
371,ARX Robotics,"ICT, Public Sector & Aerospace, Operations",Germany,,0,Defense technology company that specializes in developing ai-driven autonomous unmanned systems and sensors for the European defense sector.,https://www.arx-robotics.com/,0,0.0,,,
381,ATO Energy,"ICT, Energy & Utilities, Operations",Sweden,2022.0,0,"ATO Energy is an AI-driven Grid Enhancement Technology (GET) company specializing in Dynamic Rating, flexibility services, and grid intelligence solutions. Our proprietary Dynamic Rating Platform, designed to optimize grid performance in real time, enables higher integration of renewables, enhanced system flexibility, and improved operational efficiency for grid operators.",https://www.ato.energy,"0,3",0.3,Stockholm,,
394,AVES Reality,"ICT, Transport & Mobility, Media & Entertainment",Germany,,0,"AVES Reality creates a virtual copy of the earth – ready for simulation, gaming, VR and more. With their AI powered technology, they deliver any place on earth as interactive 3D model at almost no time.",https://avesreality.com/,0,0.0,,,
397,AWAKE Mobility,"ICT, Transport & Mobility, Operations",Germany,,0,AWAKE Mobility is an AI company increasing availability and maintenance efficiency in commercial vehicle fleets,https://www.awakemobility.de/,0,0.0,,,
1785,AWS; Microsoft Azure; Google Cloud,,,,0,,,0,0.0,,,
1773,AXA Venture Partners; Blue Cloud Ventures; 37 others,,,,0,,,0,0.0,,,
398,AXOVISION,ICT,Germany,,0,AXOVISION is a pioneer in the application of AI in asset management. Our model of cooperative Artificial Intelligences analyzes traditional as well as alternative data sets to generate precise trading signals in the data noise of financial markets.,https://axovision.com/,0,0.0,,,
123,Abridge,ICT,United States,2018.0,0,,https://eventidegamesstudio.com/abridge/,830,830.0,,,
270,Acaris,ICT,Germany,,0,"ACARiS offers AI-powered health analytics for animals. We evaluate live video streams using artificial intelligence, computer vision and big data to inform pet owners if their animals show health problems. In this way, we contribute to welfare, transparency and productivity in animal husbandry. We have been offering our solutions for horses since 2019, and from 2024 also for dairy cows. We currently have over 800 cameras in use with over 250 customers worldwide, including numerous well-known names from the world's top equestrian athletes and horse breeders. We currently have the largest treasure trove of data in this area: over 300 years of videos of horses - a unique asset.",https://acaris.net/,0,0.0,,,
1775,Accel; India Quotient; 12 others,,,,0,,,0,0.0,,,
273,Acemate,"ICT, Operations",Germany,,0,"AI-powered educational platform that provides students with personalized study tools, including mock exams, summaries, and a context-aware chatbot for university courses.",https://acemate.ai/en,0,0.0,,,
274,Acorai,R&D,Sweden,,0,The new standard in heart failure management,https://acorai.com/,0,0.0,,,
1806,Acquired by Apple (2010); Apple-OpenAI partnership (2024) for ChatGPT integration in Siri and Writing Tools.,,,,0,,,0,0.0,,,
1807,Acquired by Apple (2016).,,,,0,,,0,0.0,,,
1810,Acquired by Apple (2018); product-level integration with Apple Music and Siri.,,,,0,,,0,0.0,,,
1813,Acquired by Apple (2020); startup originated from the AI2 ecosystem.,,,,0,,,0,0.0,,,
1817,Acquired by Apple (2024); post-acquisition team integration into Apple AI group reported by press sources.,,,,0,,,0,0.0,,,
239,Acronis,ICT,Switzerland,,0,Acronis est une entreprise Swiss technology company specializing in backup and disaster recovery software and services.,https://www.acronis.com/,658,658.0,Schaffhausen,,
278,Admetrics,"ICT, Marketing",Germany,,0,Admetrics provides the first unified marketing analytics solution with integrated experimentation engine that supercharges cross channel campaign optimization and user acquisition processes. Based on the analysed marketing data Admetrics leverages AI to make actionable recommendations for growth and risk mitigation.,https://admetrics.io/,0,0.0,,,
279,Admyral,"ICT, Real Estate Activities",Germany,,0,AI-powered skip tracing platform for commercial real estate,https://admyral.ai/,0,0.0,,,
280,Adtriba,"ICT, Marketing",Germany,,0,"Adtriba is the marketing measurement solution that is the quickest to implement and the easiest to use. It allows advertisers to track, control and optimize their marketing activities across all marketing channels through AI and user journey analysis. The SaaS solution integrates all cross-channel and cross-device user journeys, onsite and offsite. Machine learning algorithms process these user journey events to produce attribution models as well as actionable insights to increase ROI.",https://www.adtriba.com/,0,0.0,,,
282,Aeterna Labs,Marketing,Sweden,,0,"Aeterna Labs is a high quality context content supplier based on cutting edge machine intelligence. Through accurate content analysis, ads and messages can be placed in specific contexts.",https://aeternalabs.ai/,0,0.0,,,
283,Agenta AI,"AI model, ICT, IT & Security",Germany,,0,"Agenta is an open-source all-in-one platform for building robust LLM applications with tools for prompt engineering, evaluation, and monitoring.",https://agenta.ai/,0,0.0,,,
284,Agents.inc,"Cross Industry, AI model, ICT",Germany,,0,"AGENTS.inc offers AI Agents that elevate generative AI to the next level by delivering exceptional quality outcomes with high accuracy and efficiency. They ensure complete data control and security, streamline professional processes through advanced automation, and provide a user-friendly experience. These digital employees integrate internal and external data sources with knowledge graphs and AI models for real-time, reliable results, operating 24/7. The AI Agents HQ Platform offers interoperability for AI Agents, a user-friendly interface, and a scalable infrastructure for diverse agents, data sources, and AI models.",https://agents.inc/,0,0.0,,,
285,Agile Robots,ICT,Germany,,0,Agile Robots is an artificial intelligence robot maker.,https://www.agile-robots.com/,0,0.0,,,
286,AgriData Innovations,ICT,Netherlands,,0,"Developing ""smart-eyes"" to enable data-driven greenhouse management. Their WebApp provides growers with a structured overview of their crops, linked to the growers' ERP systems for data-driven cultivation management. They offer integrated, AI-powered solutions for crop monitoring, pest and disease scouting, and germination analysis, delivering actionable insights to enhance agricultural productivity.",https://www.adinnovations.nl,0,0.0,Delft,,10
297,Aiconix,"ICT, Media & Entertainment, Operations",Germany,,0,"Aiconix is a video optimization solution provider for the media industry. Has developed a product Aingine, that enables the media companies to deliver the analysed data during the video production and to integrate the information into the video. Also, enable the optimal adaptation of content according to the needs of the target group. Also provides automated conversion of speech to text, semantic analysis, automated creation of subtitles, automated detection of objects, image size, and emotions among others.",https://www.aiconix.ai/,0,0.0,,,
299,Aiden,"ICT, Real Estate Activities",Germany,,0,"AI-driven platform enhancing property management by automating communication and request processing, boosting resident satisfaction.",https://getaiden.com/,0,0.0,,,
103,Aidoc,Health & Social Care,Israel,,0,Aidoc is a Developer of medical scans' analyzing systems.,https://www.aidoc.com/,0,0.0,Tel Aviv,,
301,Aignostics,ICT,Germany,,0,"AIgnostics works on revolutionising pathology with AI, primarily in the fields of cancer diagnostics and drug development.",https://www.aignostics.com/,0,0.0,,,
304,Aiina Robotics,"Manufacturing, Construction, Operations",Germany,,0,"Developer of autonomous mobile robotics intended to accelerate the construction industry. The company's platform develops autonomous and modular construction robot capable of addressing the skilled worker shortage, harness cutting-edge technology to empower workers, enabling its clients to enhance efficiency and simplify their lives in construction industry.",https://aiina-robotics.com/,0,0.0,,,
305,Aiir Innovations,"ICT, Transport & Mobility, R&D",Netherlands,,0,Aiir Innovations uses AI to improve the accuracy and speed of engine inspections in aviation.,https://aiir.nl/,0,0.0,,,
313,Aiosyn,ICT,Netherlands,,0,"Aiosyn develops AI-powered algorithms to support pathologist with clinical diagnostics. We develop a clinical diagnostics platform with multiple algorithms that will improve the diagnostic accuracy and saves time. These algorithms will be integrated into the standard pathology workflow. Aiosyn develops algorithms for quality control, breast cancer and renal diseases. Aiosyn is a spin-off from the Computational Pathology Group from the Radboudumc and was founded in 2021. This group pioneered the development of computational pathology algorithms with several Grand Challenges and key publications in JAMA, Nature Medicine and the Lancet Oncology. In 2021, the company received pre-seed funding from OostNL and Lumo Labs. It also received a prestigious NWO Take-Off Grant of 250k to further development the platform.",https://www.aiosyn.com/,0,0.0,,,
314,Aiperia,"ICT, Retail & E-commerce, Operations",Germany,,0,"AI-based planning solution for highly perishable goods. Enabling food producers and suppliers to plan end-to-end from production to the supermarket shelf to ensure that only what is sold is actually produced. In that way PlanerAI helps to open up new distribution channels, achieve better margins and reduce food waste.",https://aiperia.com/,0,0.0,,,
198,Airship AI,ICT,United States,,0,,,"71,28",71.28,,,
316,Airteam Aerial Intelligence GmbH,"ICT, Construction, Operations",Germany,,0,"Developer of an Artificial Intelligence-based software designed to convert drone data into 3D CAD and BIM models. The company focuses on automating drone flights and image data analysis using computer vision and machine learning, PV planners, roofers, and contractors to measure and inspect buildings quickly and cost-effectively, enabling construction companies to convert aerial data into accurate and secure actionable insights.",https://www.airteam.ai/,0,0.0,,,
254,Aiven,ICT,Finland,,0,,https://aiven.io/,420,420.0,Helsinki,,
319,Aivy,Cross Industry,Germany,,0,Talents discover their individual strengths and HR managers conduct strength- based recruiting,https://aivy.app/,0,0.0,,,
321,Akhetonics,"Hardware, ICT, Manufacturing",Germany,,0,Building the world’s first all-optical XPU: an ultra-low-power photonic processor delivering high-performance AI compute beyond von-Neumann limits.,https://www.akhetonics.com/,0,0.0,,,
322,Akirolabs GmbH,"Cross Industry, Operations",Germany,,0,Akirolabs empowers procurement organisations to unlock 4-5x higher sustainable business value beyond traditional cost savings.,https://akirolabs.com/,0,0.0,,,
323,Akuret,"ICT, Retail & E-commerce, Operations",Sweden,,0,We use AI to help retailers achieve and maintain accurate inventory data and high on-shelf availability so store employees can focus on what matters the most: the customer,https://www.akuretsolutions.com/,0,0.0,,,
324,Alago,"ICT, Construction, Operations",Germany,,0,Project management platform that offers AI-powered tools for efficient construction project management,https://www.alago.ai/,0,0.0,,,
325,Alcemy,"ICT, Construction, Operations",Germany,,0,AI software for predictive quality control enables costs and Carbon savings in the production of cement and concrete,https://alcemy.tech/en/,0,0.0,,,
1721,Aldus Corporation,,,,0,,,0,0.0,,,
34,Aleph Alpha,"AI model, ICT",Germany,2021.0,0,Aleph Alpha creates open-source European language models with a focus on multimodality and explainability.,https://www.aleph-alpha.com,0,0.0,,,
327,Algeno,Real Estate Activities,Sweden,,0,Reduce heating costs while providing stable indoor climate,https://algeno.se/,0,0.0,,,
328,AlgoDx,Health & Social Care,Sweden,,0,Clinically validated machine learning algorithms ​that save lives and improve cost-effectiveness in healthcare​,https://algodx.com,0,0.0,,,
163,Alibaba,"Cloud Provider, ICT, Financial Services",China,1999.0,0,"Alibaba Group is a Chinese technology company active in e-commerce, digital payments, logistics, and cloud computing.",https://www.alibabagroup.com,282 750,282750.0,Hangzhou,"Jack Ma, SoftBank Group, Altaba, Joseph Tsai",
329,Alithea Bio,"ICT, R&D",Germany,,0,"Alithea revolutionizes the treatment of cancer patients with end-to-end solutions from patient sample to personalized treatment. With Alithea's world’s largest SaaS(Software-as-a-Service) B2B Platform for biopharma, we accelerate and simplify novel drug target discovery, target validation and off-target toxicity.",https://alithea-bio.com/,0,0.0,,,
208,Allbirds,ICT,United States,,0,Allbirds est une entreprise New Zealand and American company that sells footwear and apparel.,https://www.allbirds.com/,"24,12",24.12,San Francisco,,
1690,Alliance Ventures,,,,0,,,0,0.0,,,
1645,Alliance « Open Secure AI,,,,0,,,0,0.0,,,
331,Allon,"ICT, Sales, Marketing",Germany,,0,"AIlon is the artificial intelligence platform of the ERASON Group, an AI focused company from Germany which provides actionable insights about groups and individuals to companies, regardless of size and industry. Our customers use this data derived from digital footprints for marketing, recruiting, risk assessment and many more use-cases. AIlon has proven to drive sales, impact recruiting metrics, reduce risk exposure and deliver OPEX savings.",https://ailon.io/,0,0.0,,,
332,Allting AB,"Cross Industry, ICT",Sweden,,0,"Allting is your meeting activity tracker, dedicated to improving your meetings using artificial intelligence and data science.",https://www.allting.co,0,0.0,,,
194,Almawave,ICT,Italy,,0,,,150,150.0,,,
334,Alpas,"Manufacturing, Operations",Germany,,0,Alpas provides data-driven sourcing for procurement departments of mid and large-cap manufacturing companies.,https://alpas.ai/,0,0.0,,,
335,Alpha Brain Technologies,"Hardware, ICT",Netherlands,,0,We develop a wearable patch to predict epileptic seizures before happening. The device is seamless and can predict the seizures without an external computational power and only on the chipset of a wearable. The long term goal is to stop the seizures before happening by combining our solution with a non-invasive brain stimulation technique. We work in close contact to various epilepsy centres and academic hospitals and taking the patients' preferences as the base of our device.,https://www.alphabrain.tech,0,0.0,,,
1655,Alpha Star,,,,0,,,0,0.0,,,
336,AlphaPrompt,"AI model, ICT, Real Estate Activities",Germany,,0,The generative AI platform designed to automate processes and enhance data availability and quality in the real estate industry.,https://alphaprompt.de/,0,0.0,,,
1616,Alphabet,,,,0,,,0,0.0,,,
1570,Alphabet Inc.,Cross Industry,,2015.0,0,"Alphabet Inc. is a multinational technology holding company and the parent of Google and other businesses such as YouTube, Waymo, and Google DeepMind.",https://abc.xyz,4 120 000,4120000.0,,,
337,Alpine Eagle,"ICT, Public Sector & Aerospace, Operations",Germany,,0,"Counter-UAS system; AI-powered airborne sensor-and-interceptor network that detects, classifies and disables hostile drones.",https://alpineeagle.com/,0,0.0,,,
338,AltaSigma,"ICT, Operations",Germany,,0,AltaSigma Enterprise AI Platform,https://www.altasigma.com/,0,0.0,,,
1708,Altaba,,,,0,,,0,0.0,,,
339,Altavo GmbH,ICT,Germany,,0,Altavo gives voiceless people back their natural-sounding voice through AI-based controlled radar sensor technology.,https://www.altavo.eu/,0,0.0,,,
340,Alteruna AB,Cross Industry,Sweden,,0,"Alteruna is a cloud-based platform helping game studios and other industries develop, deploy, and monetize multiplayer games, training simulators and other real-time apps.",https://www.alteruna.com,0,0.0,,,
1615,Amazon,,,,0,,,0,0.0,,,
1804,Amazon Alexa,,,,0,,,0,0.0,,,
9,Amazon Web Services,"Hardware, ICT",United States,2003.0,0,"Anthropic's primary cloud partner for Claude training and deployment via AWS, Bedrock and Trainium/Graviton chips.",https://aws.amazon.com,1 500 000,1500000.0,,,
343,AmberSearch,"Cross Industry, Operations",Germany,,0,"Multimedial enterprise search that makes the knowledge contained within pictures, videos, text or audio files available to every employee",https://ambersearch.de/,0,0.0,,,
342,Amberscript,"ICT, Public Sector & Aerospace, Education",Netherlands,,0,"Amberscript provides subtitling and transcription software and services to make all audio accessible through the use of AI. A first Automatic Speech Recognition layer generates a first draft text after which you or our human language experts improve the texts to 100%. In this way, we provide (media) organizations, governments and education institutions with an accurate, fast and easy way of producing subtitles and transcripts.",https://www.amberscript.com,0,0.0,,,
344,AmbiGate,ICT,Germany,,0,"AmbiGate is a German based company with its focus on Motion Sensing technology. We use 3D and 2D cameras as well as the HoloLens in combination with AI to detect and analyze movements in an open area precisely. Our product, the AmbiCoach is a smartphone application that allows users to perform health exercises with qualitative feedback. It uses the smartphone camera to give the user tips and to evaluate the quality of the exercise execution.",https://ambigate.com/,0,0.0,,,
1763,Ambyint,,,,0,,,0,0.0,,,
1643,Amkor Technology,,,,0,,,0,0.0,,,
1700,Andreessen Horowitz,,,,0,,,0,0.0,,,
51,Anduril Industries,,United States,,0,,https://www.anduril.com/,0,0.0,California,,
347,Angsa Robotics,Cross Industry,Germany,,0,"Angsa is a solar-powered autonomous trash picking robot for small trash items like cigarettes. It features smart recognition, solar powered, autonomous and suction to pick the trash.",https://angsa-robotics.com/,0,0.0,,,
349,Anita,R&D,Germany,,0,"Anita is a Berlin-based Legal Tech Al startup offering a next-gen legal research platform powered by patented X-Al technology from Fraunhofer Heinrich-Hertz-Institut. Lawyers get precise, source-backed answers to legal questions - including arguments that worked in court, outcomes in similar cases, and typical damages or dispute values. The platform also enables automated drafting of legal texts, streamlining legal workflows end-to-end.",https://www.anita.legal/,0,0.0,,,
1649,Ansys,,,,0,,,0,0.0,,,
1588,Ant Group,Financial Services,China,2014.0,0,Ant Group is a Chinese fintech platform company affiliated historically with the Alibaba ecosystem.,https://www.antgroup.com,0,0.0,,NA,
2,Anthropic,"Hardware, ICT",United States,2021.0,0,"Societe d'IA generative (famille de modeles Claude). Strategie multi-cloud (AWS, Google Cloud, Azure) et diversification hardware (Nvidia GPU, Amazon Trainium, Google/Broadcom TPU).",https://www.anthropic.com,5 000,5000.0,,"Amazon, Google, SK Telecom",~$13 billion Amazon + ~$12-13 billion Google + $100 million SK Telecom + ~$30 billion Azure capacity (partnerships and commitments announced).
351,Anticipate ML,"ICT, Manufacturing",Germany,,0,We develop an AI-based assistance system to detect camera-based human errors in manual assembly processes and thus significantly reduces internal error costs in manufacturing.,https://www.anticipate.ml/,0,0.0,,,
352,Anymate ME,"Cross Industry, ICT, Operations",Germany,,0,"“Anymate Me“ is an innovative, AI-based video production platform that creates videos in over 60 languages. With no need for traditional methods, it saves companies up to 96% of production costs and speeds up video creation by 15 times. Using photorealistic avatars, any text can be turned into high-quality videos suitable for marketing, sales, and training.",https://anymateme.com/,0,0.0,,,
354,Apheris,"ICT, IT & Security",Germany,,0,"Developer of a data harmonization and security platform designed to preserve machine learning and analytics. The company's platform uses artificial intelligence and techniques including decentralized computing, federated learning, and cryptographic protocols to preserve privacy and protect data in environments with zero or low trust, enabling clients to change how organizations collaborate securely and extract value from data.",https://www.apheris.com/,0,0.0,,,
355,Apheris AI,ICT,Germany,,0,"Apheris is a deep tech company that enables enterprises to collaborate and analyse data securely — without compromising privacy. Apheris’s privacy-preserving data ecosystem are built upon cutting-edge technologies and cryptographic techniques created by a team of world-class researchers at the intersection of data privacy, cryptography and computational sciences.",https://www.apheris.com/,0,0.0,,,
356,Apic,ICT,Germany,,0,"We save bees with artificial intelligence! Therefore we have developed a measuring system that visually detects the bees as they enter and leave their hives. The collected image data is analyzed with methods of artificial intelligence. With the measured values we gain insights into the well-being of the bees and the plant diversity in their environment, from which the regional living conditions for insects can be derived.",https://apic.ai/,0,0.0,,,
357,Apoqlar,"Hardware, ICT, Health & Social Care",Germany,,0,"apoQlar is the developer of a medical mixed reality platform that is revolutionizing how medicine is practiced, experienced, learned, and shared globally. VSI HoloMedicine® is a medically certified software platform that leverages the Microsoft HoloLens hardware to transform medical images, clinical workflows, and medical education into aninteractive 3D mixed reality environment.",https://www.apoqlar.com/,0,0.0,,,
158,Apple,ICT,United States,1976.0,0,"Apple Inc. is a U.S. technology company developing consumer devices, software platforms, and services. In AI, Apple introduced Apple Intelligence and integrates external model capabilities in selected user experiences.",https://www.apple.com,4 000 000,4000000.0,Cupertino,"Vanguard, BlackRock, Berkshire Hathaway",NA
1666,Apple (custom semiconductor supply through 2031); Google (TPU co-development); OpenAI (custom inference chip collaboration),,,,0,,,0,0.0,,,
124,Applied Intuition,"ICT, Transport & Mobility",United States,2017.0,0,Applied Intuition is a software company for autonomous vehicles.,https://www.appliedintuition.com/,850,850.0,Sunnyvale,,
358,Appose,ICT,Germany,,0,"Data-driven competence mgmt. & dev., team staffing, and workforce transformation platform using AI",https://appose.com/de,0,0.0,,,
359,Aqarios,"Cross Industry, ICT, R&D",Germany,,0,"Developer of quantum computing software platform intended for businesses to solve complex optimization problems. The company's platform offers an intuitive interface, AI-driven algorithm recommendations, and end-to-end workflow management, enabling businesses across various industries to leverage the power of quantum computing and gain a competitive advantage through optimized systems.",https://aqarios.com/,0,0.0,,,
360,Arbio Group,"ICT, Real Estate Activities, Operations",Germany,,0,AI-powered property management for alternative accommodations,https://arbio-group.com/,0,0.0,,,
361,Arboair,Cross Industry,Sweden,,0,Leading the transition to a digitalized sustainable. forestry,https://www.arboair.com,0,0.0,,,
362,Arboreal,Cross Industry,Sweden,,0,Bringing digital data to the forestry,https://www.arboreal.se,0,0.0,,,
1628,Argilla,,,,0,,,0,0.0,,,
363,Ariadne,"Cross Industry, ICT, Operations",Germany,,0,Ariadne Maps is a high technology company that provides detailed customer analytics with its cutting edge artificial intelligence approach,https://www.ariadne.inc/,0,0.0,,,
364,Arkion,"ICT, Energy & Utilities",Sweden,,0,"Arkion offers an AI-powered software solution that transforms inspection data—including images, thermal, and lidar",https://www.arkion.co,0,0.0,,,
365,Arkus AI,"ICT, Operations",Sweden,,0,Artificial Intelligence for genetic diagnostics and care,https://arkus.ai,0,0.0,,,
1802,Arm,,,,0,,,0,0.0,,,
210,Arrive AI,ICT,United States,,0,,,"17,23",17.23,,,
366,Artemis,"ICT, R&D",Germany,,0,"Rapid, cost-efficient custom AI solutions for pharmaceutical companies, delivering measurable results in weeks",https://artemis-solutions.de/,0,0.0,,,
367,Artificial Pixels,"ICT, Manufacturing, Operations",Germany,,0,Synthetic Data and AI Solutions,https://artificial-pixels.com/,0,0.0,,,
368,Artificient,ICT,Germany,,0,AI-based telematics analytics platform for insurers,https://artificient.de/,0,0.0,,,
98,Artisse AI,,Hong Kong,,0,,,0,0.0,,,
372,AskLio,"Cross Industry, AI model, ICT",Germany,,0,"We are building the AI-Copilot for procurement, starting with automating free-text requests and guidance of employees. When an employee at a large enterprise wants to buy something, the procurement process used to take months - Lio turns it into days. Leveraging Generative AI to make procurement managers of leading enterprises more productive. Think of Lio as an additional assistant for every procurement manager. Some of the most renowned companies in the world are already using our AI-Copilot. Join them. Enterprise Level Security. GDPR Compliant.",https://asklio.ai/,0,0.0,,,
374,Assemblio,"ICT, Manufacturing, Operations",Germany,,0,"Assemblio GmbH provides software specifically designed for manufacturing companies to optimize and automate assembly planning processes and the creation of assembly instructions. This software solution utilizes AI, advanced data processing and automation technologies to minimize manual tasks involved in developing assembly instructions, speed up the planning of product variants, train employees more efficiently, and enhance precision in assembly. As a key component of the production toolchain, Assemblio seamlessly links engineering and production. Assemblio promotes sustainable knowledge transfer, resource efficiency, more effective production, and a reduction in time-to-market. Founded in 2022, Assemblio GmbH is a spin-off of the Fraunhofer Institute for Manufacturing Engineering and Automation IPA, located in Stuttgart.",https://www.assemblio.com/en,0,0.0,,,
376,AssistYou,Cross Industry,Netherlands,,0,"AssistYou delivers digital voice assistants that provide friendly, fast & personal telephone service to large Enterprises. This voice assistant picks up the phone in a friendly manner i.e. 'How can I help you' and routes the customer to the relevant customer service employee, provides self service or answers the question the customer has without interference of a service employee (these are some examples). The assistant works seamlessly together with their flesh & blood counterparts to deliver cutting-edge customer service experiences. Examples of situations we solve for our customers’ customers include: no more waiting for service, no more customer service reps asking who you are, no more unfriendly IVR’s.",https://assistyou.ai+,0,0.0,,,
375,Assistent.ai Software GmbH,ICT,Germany,,0,"Assistent.ai is the phone assistant for smart restaurants. Assistent.ai automatically answers inbound calls for restaurants around the clock, maximizing their availability and saving their service team hours each day. By using the Assistent.ai voicebot, restaurants like ""Das Attersee"" save up to 80 hours of work each month.",https://www.assistent.ai/,0,0.0,,,
377,Astrid Education,"ICT, Education",Sweden,,0,"Astrid combines storytelling with an engaging AI-powered learning journey to help kids and teens around the world become fluent, confident English speakers. Voice-based and personalized at the core, Astrid gives children a new, fun way to practice English independently, unsupervised, at their own pace.",https://www.astrideducation.com,0,0.0,,,
378,Asymptotic AI,ICT,Sweden,,0,Big data made easy by Asymptotic AI,https://www.asymptotic.ai/,0,0.0,,,
379,Atira.ai,"ICT, Sales",Germany,,0,Develops Sales AI Agents,https://www.atira.ai/,0,0.0,,,
380,Atlas Metrics,"ICT, Operations",Germany,,0,"Develops technology to collect, manage, and report environmental, social, and governance (ESG) data in compliance with the world's leading impact standards",https://www.atlasmetrics.io/,0,0.0,,,
382,Attention Insight,"ICT, Marketing",Germany,,0,"An Artificial Intelligence platform, which instantly predicts where users will look when engaging with content.",https://attentioninsight.com/,0,0.0,,,
383,Audavis,ICT,Germany,,0,"Audavis specializes in using advanced data analytics and artificial intelligence to provide transparency in financial transactions for auditing purposes. The company offers a data analysis platform that helps in and automates technical tasks for auditors, making the audit process. It primarily serves the financial auditing sector.",https://www.audavis.ai/,0,0.0,,,
384,Augmented Industries,"ICT, Manufacturing, Operations",Germany,,0,"AI-powered microlearning solutions for industrial training, enhancing productivity and operational excellence on the factory floor.",https://augmented-industries.de/,0,0.0,,,
385,Aurio.ai,"Cross Industry, ICT",Germany,,0,"AI Hiring tool, approaching potential hires with AI personalised videos from the CEO.",https://aurio.ai/,0,0.0,,,
167,Aurora Innovation,"ICT, R&D",United States,,0,Aurora Innovation is an Autonomous driving technology research company.,http://aurora.tech/,12 370,12370.0,Palo Alto,,
386,Auta Health,"ICT, Operations",Germany,,0,"Auta Health automates the planning of patient stays through optimized and automatic capacity management within the hospital. The first module focuses on automating occupancy management. An AI-supported algorithm automatically assigns patients to appropriate beds based on available capacity, patient information and individual preferences. This not only relieves the burden on doctors and nursing staff, but also optimizes utilization planning.",https://auta.health/,0,0.0,,,
