company,source,normalized,reason
Synthesia,Runway(Gen-2 / Gen-3),Runway,canonical_base
Luma AI,Deepmind (Veo),DeepMind,alias_base
Doctolib,Microsoft(Nuance),Microsoft,canonical_base
SoundHound AI,Nuance Communications(Microsoft),Microsoft,alias_base
ManoMano,Leroy Merlin(Groupe Adeo),Leroy Merlin,fallback_clean
DeepL,Google Translate,Google,google_core_product
DeepL,Microsoft Translator,Microsoft,alias_raw
Kaola,JD Worldwide (groupe JD.com),JD Worldwide,fallback_clean
Kaola,Xiaohongshu (Little Red Book),Xiaohongshu,fallback_clean
Kaola,ByteDance (Douyin),ByteDance,canonical_base
5C Group,Microsoft Azure,Microsoft,alias_raw
Pasqal,IBM(Quantum),IBM,canonical_base
Pasqal,Google(Quantum AI),Google,google_core_product
WeRide,Baidu (Apollo Go),Baidu,fallback_clean
Weibo,Tencent(wechat),Tencent,fallback_clean
Domyn,Alibaba(Qwen),Alibaba,canonical_base
Ambiance Healthcare,Microsoft(Nuance DAX copilot),Microsoft,canonical_base
Lightspeed,Adobe(Magento),Adobe,canonical_base
WhiteFiber,Microsoft Azure,Microsoft,alias_raw
WhiteFiber,AWS(AWS),AWS,alias_raw
01.AI,LLama,Meta,alias_raw
Dash0,Datadog (Bits AI),Datadog,fallback_clean
Dash0,Middleware (AI Agent),Middleware,fallback_clean
Glean,Amazon(Kendra),Amazon,canonical_base
Glean,Google(Gemini),DeepMind,google_deepmind_hint
PolyAI,IBM(watsonx),IBM,canonical_base
Cradle,DeepMind(Alphafold),DeepMind,alias_base
Corti,Microsoft(DAX),Microsoft,canonical_base
Corti,AWS(AWS HealthScribe),AWS,alias_base
4.screen,Google( Android Auto),Google,google_core_product
4.screen,Apple(carply),Apple,canonical_base
Prophesee,iniVation(Suisse),iniVation,fallback_clean
Comand AI,Airbus (Defence and Space),Airbus,fallback_clean
Yseop,grandes CRO (Clinical Research Organizations),grandes CRO,fallback_clean
Nabla,Microsoft(Nuance/DAX Epic) & Oracle (Oracle Health),Microsoft & Oracle,fallback_clean
OLLAMA,Huggingface(Transformers),Huggingface,fallback_clean
Bodyguard.ai,Two Hat (Microsoft),Two Hat,fallback_clean
EbenBuild,Dassault Systèmes(Projet Living Heart / Living Lung),Dassault Systèmes,canonical_base
20face,brighter AI(Allemagne),brighter AI,fallback_clean
20face,BioID(Allemagne),BioID,fallback_clean
20face,iProov(Royaume-Uni),iProov,fallback_clean
20face,PrivateID(États-Unis),PrivateID,fallback_clean
20face,Oosto(anciennement AnyVision - Israël/USA),Oosto,fallback_clean
20face,Incode Technologies(États-Unis),Incode Technologies,fallback_clean
20face,Thales Group(France),Thales Group,fallback_clean
20face,Cognitec Systems(Allemagne),Cognitec Systems,fallback_clean
3ive AI,Simus Systems(Classmate CAD),Simus Systems,fallback_clean
3ive AI,CADENAS(PARTsolutions),CADENAS,fallback_clean
PharmAI,Isomorphic Labs(Royaume-Uni),Isomorphic Labs,canonical_base
PharmAI,Chai Discovery(États-Unis),Chai Discovery,canonical_base
PharmAI,Xaira Therapeutics(États-Unis),Xaira Therapeutics,fallback_clean
Accentize GmbH,Adobe (Enhance Speech),Adobe,canonical_base
