competitor,frequency,source_company,sector_labels,status
Cohere,6,Anthropic,"Hardware, ICT",existing
ContentSquare,6,Amplitude,Sales & Marketing,existing
CoreWeave,6,Cerebras,"Hardware, GPU",existing
Decagon,6,Sierra,Sales & Marketing,existing
DeepSeek,6,Anthropic,"Hardware, ICT",existing
Figure AI,6,1X Technologies,Robotics,existing
Harvey,6,Brainial,"Professional Services, Legal tech, tender",existing
Indium,6,Coforge,Data,existing
Luma AI,6,Runway,"Media & Entertainment, AI model, Image generation",existing
ManoMano,6,Bricoman,Retail & E-commerce,existing
Midjourney,6,Stability AI,"AI model, Biotech, Image generation",existing
Multiverse Computing,6,Deci AI,Quantic,existing
Owkin,6,Insilico Medicine,"AI model, Health & Social Care",existing
Prophesee,6,Keyence,"Computer Vision, AI model, Robotics",existing
Salesforce,6,Decagon,"Sales & Marketing, Retail & E-commerce, Chatbot",existing
Tencent,6,OpenAI,ICT,existing
Teraki,6,Ambarella,"Transport & Mobility, AV",existing
AI Medical Technology,5,DermaSensor,"AI model, Biotech, Oncology",existing
Abridge,5,Nabla,"AI model, Health & Social Care",existing
Ambiance Healthcare,5,Athnahealth,Health & Social Care,existing
Ameba,5,Blue Yonder,Logistics,existing
Black Forest Labs,5,Mistral AI,"AI model, ICT",existing
Cambricon Technologies,5,Alibaba Group,"Hardware, ICT",existing
DeepL,5,Mistral AI,"AI model, ICT",existing
DentalMonitoring,5,Align Technology,"AI model, Health & Social Care, dental",existing
Dynatrace,5,Dash0,AI model,existing
Franka Emika,5,Universal Robots,"Manufacturing & Operations, Robotics",existing
Glean Technologies,5,Coveo,"Professional Services, AI model",existing
Kyutai,5,Ace Studio,"AI model, Voice",existing
Lambda Labs,5,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
Lightspeed,5,BigCommerce,"Professional Services, Retail & E-commerce",existing
Luminance,5,Harvey,"Professional Services, Legal tech",existing
Mistral AI,5,H Company,"AI model, Agentic",existing
Moonshot AI,5,OpenAI,Artificial Intelligence,existing
Nabla,5,Abridge,"Health & Social Care, AI model",existing
OLLAMA,5,VLLM,"AI model, Hardware, Inference Server",existing
Oracle,5,Microsoft,"Cloud Provider, AI model, Professional Services",existing
Oxford Nanopore Technologies,5,Element Biosciences,"AI model, Health & Social Care",existing
Pasqal,5,Multiverse Computing,Quantic,existing
Suno AI,5,AIVA,"AI model, Music",existing
Upstart,5,Avant,Financial Services,existing
Waves Audio,5,Accentize GmbH,"Manufacturing & Operations, R&D, ICT",existing
Y combinator,5,500 Global,ICT,existing
Zapia AI,5,Luzia,AI model,existing
3ive AI,4,CADENAS,"ICT, Manufacturing & Operations, Transport & Mobility",existing
4Paradigm,4,DataRobot,"AI model, Professional Services",existing
ASML,4,Quantum Diamonds,"R&D, Quantic",existing
Appen,4,Scale AI,"Data, Annotation",existing
Bodyguard.ai,4,Besedo,"IT & Security, Cyber",existing
Captain AI,4,Captain's Eye,"Transport & Mobility, Marine",existing
Celonis,4,Appian,"Manufacturing & Operations, Professional Services",existing
Cognex,4,Prophesee,"Computer Vision, AI model, Robotics",existing
Cognizant,4,IBM,"AI model, Cloud Provider, Professional Services",existing
Dash0,4,Better Stack,AI model,existing
GitHub,4,Cognition AI,"AI model, Code",existing
Glean,4,Dust,"Health & Social Care, Agentic",existing
Groq,4,Graphcore,ICT,existing
Harvey AI,4,Lawx,"Manufacturing & Operations, Professional Services, LawTech",existing
Helsing,4,Mistral AI,"AI model, ICT",existing
Huawei,4,Nvidia,"Hardware, AI model, GPU",existing
Kaola,4,Xiaohongshu,Retail & E-commerce,existing
Kling AI,4,Runway,"Media & Entertainment, AI model, Image generation",existing
Langfuse,4,LangSmith.Arize Phoenix,AI model,existing
Nscale,4,Hyperstack,"Cloud Provider, neocloud",existing
Paige AI,4,Owkin,"AI model, Health & Social Care",existing
Quantum Diamonds,4,Applied Materials,"R&D, Quantic",existing
Recursion Pharmaceuticals,4,Owkin,"AI model, Health & Social Care",existing
SPACE42,4,Presight AI,"Energy & Utilities, Financial Services, Smart city",existing
Sakana AI,4,Recursive Superintelligence,"AI model, RSI, Agentic",existing
SentinelOne,4,Cortex XDR,Cybersécurité,existing
Shopify,4,Lightspeed,"Professional Services, Retail & E-commerce",existing
Ubble,4,IDnow,"AI model, IDV",existing
Volta medical,4,Abbott,"AI model, Health & Social Care, Cardio",existing
World Labs,4,Runway,"Media & Entertainment, AI model, Image generation",existing
Zhipu AI,4,DeepSeek,"AI model, ICT",existing
dstack,4,Run:ai,AI tools,existing
AIME,3,5C,"Manufacturing & Operations, Professional Services, ICT",existing
AMI Labs,3,World Labs,AI model,existing
Agility Robotics,3,Figure AI,Robotics,existing
Alibaba Cloud,3,OpenAI,Cloud Provider,existing
Alpine Eagle,3,D-Fend Solutions,"Manufacturing & Operations, Defence, Drone",existing
Ant Group,3,Mastercard,"Financial Services, AI model, ICT",existing
Anysphere,3,Cognition,ICT,existing
Arago,3,Lightmatter,"Hardware, Photonic",existing
BlackRock,3,Brookfield Asset Management,ICT,existing
Bland AI,3,Decagon,"Sales & Marketing, Retail & E-commerce, Chatbot",existing
Boeing,3,Anduril Industries,"Defence, AI model, Drone",existing
Boston Dynamics,3,Figure AI,Robotics,existing
Brainial,3,AutogenAI,"Professional Services, Legal tech, tender",existing
Cerebras,3,Nvidia,"Hardware, AI model, GPU",existing
Cloudflare,3,Akamai,"Cloud Provider, IT & Security",existing
Corti,3,Huma,"Health & Social Care, AI model",existing
Cradle,3,EvolutionaryScale,Biotech,existing
DarwinAI,3,Edge Impulse,"Manufacturing & Operations, ICT",existing
Domyn,3,Helsing AI,ICT,existing
Dust,3,LightOn,AI model,existing
Exscientia,3,Owkin,"AI model, Health & Social Care",existing
Fireworks AI,3,Hugging Face,"Hardware, ICT",existing
Gleamer,3,Annalise.ai,"AI model, Health & Social Care",existing
Hugging Face,3,GitHub,"AI model, Professional Services",existing
Inc.,3,Flux,"AI model, Computer Vision",existing
Ineffable Intelligence,3,Sakana AI,"AI model, Agentic, RSI",existing
Innodata,3,DataLoop,"Data, Annotation",existing
Kandou AI,3,Alphawave Semi,"Hardware, Chip",existing
Kraken Technologies,3,Arcadia,ICT,existing
Kuaishou,3,MiniMax,"AI model, Image generation",existing
Labelbox,3,Scale AI,"Data, Annotation",existing
Lockheed Martin,3,Anduril Industries,"Defence, AI model, Drone",existing
Netflix,3,Google,"AI model, Media & Entertainment, Sales & Marketing",existing
Noxtua,3,Lawx,"Manufacturing & Operations, Professional Services, LawTech",existing
Physical Intelligence,3,AMI,"AI model, World Model",existing
Retell AI,3,Decagon,"Sales & Marketing, Retail & E-commerce, Chatbot",existing
RobCo GmbH,3,Augmentus,"ICT, Manufacturing & Operations",existing
Run:ai,3,dstack,"Hardware, AI tools",existing
Shift Technology,3,Duck Creek,"Financial Services, Legal tech",existing
Sierra,3,Decagon,"Sales & Marketing, Retail & E-commerce, Chatbot",existing
Siri,3,Amazon Alexa,ICT,existing
Sony,3,Microsoft,"Cloud Provider, AI model, Professional Services",existing
TSMC,3,Intel,"Hardware, GPU, CPU",existing
VLLM,3,OLLAMA,"AI model, Inference",existing
Weibo,3,Douyin,Media & Entertainment,existing
WhiteFiber,3,Equinix DataBank,"Cloud Provider, ICT",existing
Yseop,3,LightOn,AI model,existing
01.AI,2,Baichuan Intelligence,"AI model, ICT",existing
1X Technologies,2,Physical Intelligence,"AI model, Robotics",existing
5C Group,2,Crusoe Energy,"Hardware, Infrastructure",existing
AMC Robotics Corporation,2,Unitree Robotics,Robotics,existing
Accentize GmbH,2,iZotope,"Manufacturing & Operations, R&D, ICT",existing
Ada Support,2,Decagon,"Sales & Marketing, Retail & E-commerce, Chatbot",existing
Agile Robots,2,Franka Emika,"Manufacturing & Operations, Robotics",existing
Altavo GmbH,2,Atos Medical,"AI model, Computer Vision, Health & Social Care",existing
Anduril,2,Helsing,"Public Sector, Manufacturing & Operations, Defence",existing
Apptronik,2,1X Technologies,Robotics,existing
Automation Anywhere,2,UiPath,"Manufacturing & Operations, Professional Services, ICT",existing
Broadcom,2,Kandou AI,"Hardware, Chip",existing
Canva,2,Adobe,ICT,existing
Cognition,2,Githbub,ICT,existing
Colossyan,2,Synthesia,"AI model, Computer vision",existing
Constellation Energy,2,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
Coveo,2,Glean Technologies,"Professional Services, AI model",existing
CrowdStrike,2,Guard Technology,"IT & Security, Cyber",existing
Cruise,2,Waymo,"Transport & Mobility, AI model",existing
Cursor,2,GitHub,"AI model, Professional Services",existing
Dassault Systèmes,2,3ive AI,"ICT, Manufacturing & Operations, Transport & Mobility",existing
Databricks,2,Dataiku,ICT,existing
Datadog,2,Dynatrace,Saas,existing
Dataiku,2,Palentir,ICT,existing
Deci AI,2,Multiverse Computing,Quantic,existing
Doubleword,2,Baseten Technologies,"AI model, Inference",existing
Einride,2,Aurora Innovation,"R&D, ICT",existing
Elastic,2,Dynatrace,Saas,existing
ElevenLabs,2,MiniMax,"AI model, Image generation",existing
Equinix,2,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
Fermi Inc.,2,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
Flux,2,"Midjourney, Inc.","AI model, Computer Vision",existing
Fortinet,2,Guard Technology,"IT & Security, Cyber",existing
Gitlab,2,GitHub,"AI model, Professional Services",existing
Hailuo AI,2,Runway,"Media & Entertainment, AI model, Image generation",existing
Harmattan AI,2,Helsing,"Public Sector, Manufacturing & Operations, Defence",existing
Helsing AI,2,Domyn,ICT,existing
HeyGen,2,Synthesia,"AI model, Computer vision",existing
Huggingface,2,VLLM,"AI model, Hardware, Inference Server",existing
IQM Quantum Computers,2,Quantinuum,"Hardware, Quantic",existing
Insilico Medicine,2,Owkin,"AI model, Health & Social Care",existing
Isomorphic Labs,2,Owkin,"AI model, Health & Social Care",existing
Keyence,2,Prophesee,"Computer Vision, AI model, Robotics",existing
LegalFly,2,Harvey,"Professional Services, Legal tech",existing
LexisNexis,2,Lawx,"Manufacturing & Operations, Professional Services, LawTech",existing
LightOn,2,Yseop,"AI model, Health & Social Care",existing
Maigon AB,2,Jimini AI,Legal tech,existing
Marvell Technology,2,Broadcom,"Hardware, ICT, Manufacturing & Operations",existing
Mirendil,2,Sakana AI,"AI model, Agentic, RSI",existing
Mistral,2,Cohere,"AI model, Cloud Provider, ICT",existing
MistralAI,2,Anthropic,"Hardware, ICT",existing
Mobileye,2,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Nebius Group,2,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
Neural Magic,2,Multiverse Computing,Quantic,existing
New Relic,2,Dynatrace,Saas,existing
Palentir,2,Dataiku,ICT,existing
Parloa,2,Sierra,Sales & Marketing,existing
Pony AI,2,Inceptio technology,Transport & Mobility,existing
Poolside,2,Mistral AI,"AI model, ICT",existing
Pryon,2,LightOn,AI model,existing
Quantinuum,2,IQM Quantum Computers,"Hardware, Quantic",existing
Raytheon,2,Anduril Industries,"Defence, AI model, Drone",existing
Recursive Superintelligence,2,Sakana AI,"AI model, Agentic, RSI",existing
Replicate,2,Hugging Face,"Hardware, ICT",existing
Ricursive Intelligence,2,Sakana AI,"AI model, Agentic, RSI",existing
Rigetti Computing,2,IQM Quantum Computers,"Hardware, Quantic",existing
Robin AI,2,Harvey,"Professional Services, Legal tech",existing
RunPod,2,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
SICK AG,2,Prophesee,"Computer Vision, AI model, Robotics",existing
SandboxAQ,2,Multiverse Computing,Quantic,existing
Schrödinger,2,Owkin,"AI model, Health & Social Care",existing
Shein,2,Alibaba,"Cloud Provider, Financial Services, Retail & E-commerce",existing
Silica Corpora,2,Adimab,"R&D, Biotech",existing
Skild AI,2,Physical Intelligence,"AI model, Robotics",existing
SkyPilot,2,dstack,"Hardware, AI tools",existing
Snorkel AI,2,Scale AI,"Data, Annotation",existing
Snowflake,2,Dataiku,ICT,existing
Splunk,2,Dynatrace,Saas,existing
Stability AI,2,Black Forest Labs,"AI model, Computer Vision, Image generation",existing
Synthesia,2,Colossyan,ICT,existing
Tempus AI,2,Natera,Biotech,existing
Temu,2,Alibaba,"Cloud Provider, Financial Services, Retail & E-commerce",existing
Tenstorrent,2,Groq,"AI model, Inference",existing
Thales,2,Palantir,"Defence, Professional Services, AI model",existing
Thomson Reuters,2,Dow Jones,"Data, Media & Entertainment, News",existing
Unitree Robotics,2,AMC Robotics Corporation,Robotics,existing
Universal Robots,2,Franka Emika,"Manufacturing & Operations, Robotics",existing
Vapi,2,SoundHound AI,"AI model, Voice",existing
Waabi,2,Aurora Innovation,"R&D, ICT",existing
Wayve,2,Aurora Innovation,"R&D, ICT",existing
WeRide,2,Waymo,"Transport & Mobility, AI model",existing
Wolters Kluwer,2,Lawx,"Manufacturing & Operations, Professional Services, LawTech",existing
Workato,2,UiPath,"Manufacturing & Operations, Professional Services, ICT",existing
Xiaohongshu,2,Kaola,Retail & E-commerce,existing
Xiaomi,2,Apple,ICT,existing
YouTube,2,ByteDance,Media & Entertainment,existing
Z.ai,2,OpenAI,Artificial Intelligence,existing
Zoox,2,Waymo,"Transport & Mobility, AI model",existing
iZotope,2,Accentize GmbH,"Manufacturing & Operations, R&D, ICT",existing
2CRSI,1,AIME,"Manufacturing & Operations, Professional Services, ICT",existing
4.screen,1,Here technologies,"Transport & Mobility, Media & Entertainment",existing
500 Global,1,Y combinator,ICT,existing
5C,1,AIME,"Manufacturing & Operations, Professional Services, ICT",existing
AIVA,1,Suno AI,"AI model, Music",existing
AMI,1,MetaAI,"AI model, World Model",existing
AMS,1,Intel,"Hardware, GPU, CPU",existing
AST SpaceMobile,1,SPACE42,"Data, Space",existing
Abbott,1,Volta medical,"AI model, Health & Social Care, Cardio",existing
Accentize,1,Waves Audio,Audio,existing
Accenture,1,IBM,"AI model, Cloud Provider, Professional Services",existing
Ace Studio,1,Kyutai,"AI model, Voice",existing
Adecco,1,Job&Talent,ICT,existing
Adimab,1,Silica Corpora,"R&D, Biotech",existing
AgiBot,1,Figure AI,Robotics,existing
Ahrefs,1,Semrush,"Data, Sales & Marketing",existing
Aidoc,1,Gleamer,"AI model, Health & Social Care",existing
Airbus,1,Comand AI,"AI model, Aerospace & Defence",existing
Akamai,1,Cloudflare,"Cloud Provider, IT & Security",existing
Akur8,1,Shift Technology,"Financial Services, Legal tech",existing
Aleph Alpha,1,Mistral AI,"AI model, ICT",existing
Alibaba Group,1,Cambricon Technologies,"Hardware, ICT",existing
Align Technology,1,DentalMonitoring,"AI model, Health & Social Care, dental",existing
Alphabet,1,AMD,Hardware,existing
Alphawave Semi,1,Kandou AI,"Hardware, Chip",existing
Alterx,1,Dataiku,ICT,existing
Amazon Alexa,1,Siri,ICT,existing
Ambarella,1,Teraki,"Transport & Mobility, AV",existing
Ambience Healthcare,1,Abridge,"Health & Social Care, AI model",existing
Ambyint,1,Prognostix AB,R&D,existing
Amplitude,1,ContentSquare,Sales & Marketing,existing
Analog Devices,1,Microchip Technology Inc,ICT,existing
Annalise.ai,1,Gleamer,"AI model, Health & Social Care",existing
Antler,1,Y combinator,ICT,existing
Appian,1,Celonis,"Manufacturing & Operations, Professional Services",existing
Apple Silicon,1,Qualcomm,Hardware,existing
Applied Intuition,1,Teraki,"Transport & Mobility, AV",existing
Applied Materials,1,Quantum Diamonds,"R&D, Quantic",existing
Aqemia,1,Owkin,"AI model, Health & Social Care",existing
Arcadia,1,Kraken Technologies,ICT,existing
ArianeGroup,1,SpaceX,"Cloud Provider, Data, Aerospace",existing
Arista Networks,1,Cisco,ICT,existing
Art Recognition,1,Hephaestus Analytical,"IT & Security, Art",existing
Assort Health,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Astera Labs,1,Kandou AI,"Hardware, Chip",existing
Athnahealth,1,Ambiance Healthcare,Health & Social Care,existing
AtlassianBitBucket,1,GitHub,"AI model, Professional Services",existing
Atom Computing,1,Pasqal,Quantic,existing
Atos Medical,1,Altavo GmbH,"AI model, Computer Vision, Health & Social Care",existing
Audimee,1,Kyutai,"AI model, Voice",existing
Augmentus,1,RobCo GmbH,"ICT, Manufacturing & Operations",existing
AutogenAI,1,Brainial,"Professional Services, Legal tech, tender",existing
Avant,1,Upstart,Financial Services,existing
BMW,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
BYD,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Baichuan Intelligence,1,01.AI,"AI model, ICT",existing
Baseten Technologies,1,Doubleword,"AI model, Inference",existing
Basler,1,Cognex,"Computer Vision, AI model",existing
Beatoven.ai,1,Suno AI,"AI model, Music",existing
Besedo,1,Bodyguard.ai,"IT & Security, Cyber",existing
Better Stack,1,Dash0,AI model,existing
BetterBot,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
BigCommerce,1,Lightspeed,"Professional Services, Retail & E-commerce",existing
BigHat Biosciences,1,Silica Corpora,"R&D, Biotech",existing
Bilibili,1,Weibo,Media & Entertainment,existing
BioID,1,20face,"Health & Social Care, IT & Security",existing
BioMap,1,Owkin,"AI model, Health & Social Care",existing
Biosense Webster,1,Volta medical,"AI model, Health & Social Care, Cardio",existing
Biren Technology,1,Cambricon Technologies,"Hardware, ICT",existing
BlackForest Labs,1,Stability AI,"AI model, Biotech, Image generation",existing
Blaize,1,Teraki,"Transport & Mobility, AV",existing
Blazy AI,1,Semrush,"Data, Sales & Marketing",existing
Bloomberg,1,Thomson Reuters,"Data, Media & Entertainment, News",existing
Blue Yonder,1,Ameba,Logistics,existing
Booz Allen Hamilton,1,Palantir,"Defence, Professional Services, AI model",existing
Bosch,1,Wayve,ICT,existing
Bricoman,1,ManoMano,Retail & E-commerce,existing
Bricoprivé,1,ManoMano,Retail & E-commerce,existing
Bricozor,1,ManoMano,Retail & E-commerce,existing
Brigad,1,Job&Talent,ICT,existing
Brookfield Asset Management,1,BlackRock,ICT,existing
Bruce,1,Job&Talent,ICT,existing
Bytedanse,1,OpenAI,ICT,existing
BytesDance,1,Kling AI,Image generation,existing
C3 AI,1,Dataiku,ICT,existing
C3.ai,1,BigBear.ai,Defence,existing
CADENAS,1,3ive AI,"ICT, Manufacturing & Operations, Transport & Mobility",existing
CSM.ai,1,Luma AI,Artificial Intelligence,existing
Canon,1,ASML,"Hardware, lithography",existing
Capgemini,1,IBM,"AI model, Cloud Provider, Professional Services",existing
Captain's Eye,1,Captain AI,"Transport & Mobility, Marine",existing
Centaur Labs,1,Appen,ICT,existing
Cerence,1,4.screen,"Transport & Mobility, Media & Entertainment",existing
Chai Discovery,1,PharmAI,"Biotech, AI model",existing
ChapsVision,1,Palantir,"Defence, Professional Services, AI model",existing
Character.ai,1,MiniMax,"AI model, Image generation",existing
Check Point,1,Cisco,ICT,existing
Check Point Software,1,Guard Technology,"IT & Security, Cyber",existing
Ciena,1,Oriole Networks,"Hardware, Photonic",existing
ClearML,1,Run:ai,AI tools,existing
ClickUp,1,Glean Technologies,"Professional Services, AI model",existing
Cloudfactory,1,Scale AI,"Data, Annotation",existing
Clover,1,Lightspeed,"Professional Services, Retail & E-commerce",existing
CoCounsel,1,Harvey,"Professional Services, Legal tech",existing
Codeium,1,Anysphere,"AI model, Code, Saas",existing
Coforge,1,Indium,Data,existing
Cogngy,1,SoundHound AI,"AI model, Voice",existing
Cognitec Systems,1,20face,"Health & Social Care, IT & Security",existing
Cognition AI,1,Sakana AI,"AI model, Agentic, RSI",existing
Cognugy,1,Sierra,Sales & Marketing,existing
Comand AI,1,Airbus,"AI model, Aerospace & Defence",existing
Comet,1,Doubleword,"AI model, Inference",existing
Connected Travel,1,4.screen,"Transport & Mobility, Media & Entertainment",existing
Controlla.xyz,1,Kyutai,"AI model, Voice",existing
Cortex XDR,1,SentinelOne,Cybersécurité,existing
Coupa Software,1,Dexter,"Financial Services, AI model, Professional Services",existing
Covariant,1,Physical Intelligence,"AI model, Robotics",existing
Credibly,1,Upstart,Financial Services,existing
Cresta AI,1,Sierra,Sales & Marketing,existing
CrowdStrike Falcon,1,SentinelOne,Cybersécurité,existing
Crusoe Energy,1,5C Group,"Hardware, Infrastructure",existing
Cyera (Sécurité des données applicatives) : 12 milliards $,1,Guard Technology,"IT & Security, Cyber",existing
D-Fend Solutions,1,Alpine Eagle,"Manufacturing & Operations, Defence, Drone",existing
Data Annotation,1,Scale AI,"Data, Annotation",existing
DataLoop,1,Innodata,"Data, Annotation",existing
DataRobot,1,4Paradigm,"AI model, Professional Services",existing
Dataiky,1,4Paradigm,"AI model, Professional Services",existing
Dataloop,1,Appen,ICT,existing
Datev,1,Lawx,"Manufacturing & Operations, Professional Services, LawTech",existing
Decagon AI & Sierra AI,1,Ameba,Logistics,existing
Dedrone,1,Alpine Eagle,"Manufacturing & Operations, Defence, Drone",existing
Deep Green,1,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
Deep Mind,1,OpenAI,ICT,existing
DeepBrain AI,1,Colossyan,Artificial Intelligence,existing
DeepJudge,1,Brainial,"Professional Services, Legal tech, tender",existing
DeepScribe,1,Abridge,"Health & Social Care, AI model",existing
Deepen AI,1,Teraki,"Transport & Mobility, AV",existing
Deezer,1,YouTube,Media & Entertainment,existing
Definely,1,Lawx,"Manufacturing & Operations, Professional Services, LawTech",existing
Delair,1,Harmattan AI,"Defence, Drone",existing
Dell,1,Apple,ICT,existing
Dentalai,1,DentalMonitoring,"AI model, Health & Social Care, dental",existing
Deppseek,1,Domyn,ICT,existing
DermaSensor,1,AI Medical Technology,"AI model, Biotech, Oncology",existing
Descartes Underwriting,1,Shift Technology,"Financial Services, Legal tech",existing
Dexter,1,Coupa Software,"Financial Services, AI model, Professional Services",existing
Digital Realty,1,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
Digital Realty Trust,1,Fermi Inc.,"Cloud Provider, Energy",existing
Disney,1,Amazon,"Retail & E-commerce, Cloud Provider, Sales & Marketing",existing
Docplanner,1,Doctolib,Health & Social Care,existing
DoorLoop,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Doosan Robotics,1,Franka Emika,"Manufacturing & Operations, Robotics",existing
Douyin,1,Weibo,Media & Entertainment,existing
Dow Jones,1,Thomson Reuters,"Data, Media & Entertainment, News",existing
Duck Creek,1,Shift Technology,"Financial Services, Legal tech",existing
Durable Capital Partners,1,Celonis,"Manufacturing & Operations, Professional Services",existing
Dust / Gumloop,1,Glean Technologies,"Professional Services, AI model",existing
Edge Impulse,1,DarwinAI,"Manufacturing & Operations, ICT",existing
Egrants,1,HughGrants,"AI model, ICT",existing
Elasticsearch,1,Glean Technologies,"Professional Services, AI model",existing
Element Biosciences,1,Oxford Nanopore Technologies,"AI model, Health & Social Care",existing
Eleven Labs,1,SoundHound AI,"AI model, Voice",existing
Encord,1,Scale AI,"Data, Annotation",existing
Enflame,1,Cambricon Technologies,"Hardware, ICT",existing
Entrata,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Entrepreneur First,1,Y combinator,ICT,existing
Epic Systems,1,Ambiance Healthcare,Health & Social Care,existing
Epirus,1,Alpine Eagle,"Manufacturing & Operations, Defence, Drone",existing
Equinix DataBank,1,WhiteFiber,"Cloud Provider, ICT",existing
EvolutionaryScale,1,Cradle,Biotech,existing
FARS,1,Sakana AI,"AI model, Agentic, RSI",existing
Fabfilter,1,Waves Audio,Audio,existing
Fanuc,1,Franka Emika,"Manufacturing & Operations, Robotics",existing
Fastly,1,Cloudflare,"Cloud Provider, IT & Security",existing
Fidelity Investments,1,BlackRock,ICT,existing
Field AI,1,Physical Intelligence,"AI model, Robotics",existing
Figma,1,Adobe,ICT,existing
Firefly,1,PhotoRoom,"Media & Entertainment, Image generation",existing
Firmus,1,AIME,"Manufacturing & Operations, Professional Services, ICT",existing
Flair.ai,1,PhotoRoom,"Media & Entertainment, Image generation",existing
Flexbone AI,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
FluidStack,1,dstack,"Hardware, AI tools",existing
Fractal Analytics,1,Indium,Data,existing
Franka Robotics,1,RobCo GmbH,"ICT, Manufacturing & Operations",existing
Freed,1,Abridge,"Health & Social Care, AI model",existing
Friss,1,Shift Technology,"Financial Services, Legal tech",existing
Fullstoryn,1,ContentSquare,Sales & Marketing,existing
Funnel Leasing,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Gatik,1,Aurora Innovation,"R&D, ICT",existing
Generate Biomedicines,1,Cradle,Biotech,existing
Githbub,1,Cognition,ICT,existing
Glassbox,1,ContentSquare,Sales & Marketing,existing
Global Sources,1,Alibaba,"Cloud Provider, Financial Services, Retail & E-commerce",existing
GoJob,1,Job&Talent,ICT,existing
GoTranscript,1,Amberscript,AI model,existing
Google Assistant,1,Siri,ICT,existing
Google Translate,1,DeepL,ICT,existing
Goyo AI,1,Accentize GmbH,"Manufacturing & Operations, R&D, ICT",existing
Grantify,1,HughGrants,"AI model, ICT",existing
Grin,1,DentalMonitoring,"AI model, Health & Social Care, dental",existing
Groupe Kingfisher,1,ManoMano,Retail & E-commerce,existing
