id,name,sector,organization_type,country,headquarter_city,founded_year,description,website,logo_url,capitalization,funds_raised,revenue_millions,employees_count,main_investors,main_competitors,participation,main_acquisitions,key_resources,strategic_partnerships,is_validated,end_year,end_reason,company_status,created_at,updated_at,profit_millions,capex_millions,rd_expenses_millions,community_size,community_unit,sector_domains
531,CodeEasy AB,Education,,Sweden,,2022,"CodeEasy is a story-based facilitation platform for teachers. CodeEasy AB (exploitante du site codeeasy.io) est une start-up suédoise de l'EdTech et de l'IA. Elle développe une plateforme d'apprentissage de la programmation informatique entièrement scénarisée, conçue pour aider les enseignants des collèges, lycées et centres de formation professionnelle à encadrer leurs élèves",https://codeeasy.io,https://www.google.com/s2/favicons?sz=128&domain=codeeasy.io,,,,,,,,,,,0,,,Active,2026-07-22 09:32:59,2026-08-23 17:13:46,,,,,,Consumer & Society
2888,Coursera,Education,,United States,,,"Enseignement supérieur et formation professionnelle en ligne.Pourquoi elle domine : Elle centralise les certifications et diplômes des plus grandes universités mondiales (Google, IBM, Yale) et tire sa croissance de ses abonnements Coursera for Business destinés aux entreprises.",,,2000,,,,,,,,,,1,,,Active,2026-08-23 09:21:27,2026-08-23 17:13:46,,,,,,Consumer & Society
3002,Diffit,"Education, Natural Language Processing, Generative Media, SaaS, Workflow & Productivity",Private company,United States,"Berkeley, California",2023,"Diffit (web.diffit.me) is an AI-driven instructional design and differentiation platform tailored for K-12 educators. Founded in 2023 by Vlad Gutkovich and Adam Black, the platform allows teachers to input any text, article URL, YouTube video, PDF, or learning standard and instantly generate leveled reading materials, summaries, vocabulary lists, reading comprehension checks, and student activity sheets. Built specifically to support Multi-Tiered System of Supports (MTSS) and English Language Learners (ELL), Diffit enables educators to adapt grade-level content to fit diverse student reading abilities without compromising academic rigor, offering direct exports into Google Docs, Google Slides, Google Forms, and Microsoft 365.",https://web.diffit.me/,https://www.google.com/search?q=https://logo.clearbit.com/diffit.me,,,,17,"Coherence Fund, Cyan Ventures, Hyde Park Venture Partners, Transcend Network, Workshop Ventures","Brisk Teaching, Eduaide.ai, Khanmigo, MagicSchool AI, Playlab, SchoolAI",,,"Multilingual reading-level adaptation engine, auto-generated vocabulary and scaffolding tools, Google Workspace & Microsoft 365 export connectors","K-12 school districts, Google for Education, Microsoft 365",3,,,Active,2026-09-04 16:56:06,2026-09-05 12:35:30,,,,1500000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
2887,Duolingo,"Education, Natural Language Processing, SaaS, AI model, Gaming",Publicly traded company,United States,"Pittsburgh, Pennsylvania",2010,"Duolingo is a popular, free online learning platform and app that offers bite-sized courses in over 40 languages, as well as math, music, and chess.",https://www.duolingo.com,https://www.google.com/imgres?q=what%20is%20duolingo&imgurl=https%3A%2F%2Fstore-images.s-microsoft.com%2Fimage%2Fapps.38456.9007199267003607.4d66cde1-46fd-42b7-93c7-e05d782f5e5d.cfdf91f5-dc2a-4178-96fa-d2c156ae62cd&imgrefurl=https%3A%2F%2Fapps.microsoft.com%2Fdetail%2F9wzdncrcv5xn%3Fhl%3Den-US%26gl%3DUS&docid=QzkEQg1pKJdjhM&tbnid=PBBcWdbMljghvM&vet=12ahUKEwillvSRkNCWAxVsVKQEHRDnCkUQnPAOegUIiwEQAA..i&w=300&h=300&hcb=2&ved=2ahUKEwillvSRkNCWAxVsVKQEHRDnCkUQnPAOegUIiwEQAA,7376,183,1145,1001,"Public market shareholders; historic venture backers include CapitalG (Google), Kleiner Perkins, Union Square Ventures, New Enterprise Associates (NEA), and General Atlantic.","Busuu, Babbel, Rosetta Stone, Memrise, Coursera, and emerging AI-native conversational tools.",,Gunner (2022 animation studio acquisition to support vector graphics design workflows).,"Proprietary BirdBrain AI algorithm engine, massive crowdsourced translation and correction data libraries, and the global Duolingo English Test (DET) infrastructure.",OpenAI,1,,,Active,2026-08-23 09:19:52,2026-09-02 14:40:13,170,15,380,137800000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
664,EdAider,Education,,Sweden,,,We offer an AI-powered learning platform,https://www.edaider.com,https://www.google.com/s2/favicons?sz=128&domain=edaider.com,,,,,,,,,,,0,,,,2026-07-22 09:33:00,2026-08-14 13:15:38,,,,,,Consumer & Society
667,EdTools AB,"Education, R&D",,Sweden,,,AI Math studying site for high schools.,https://www.mappi.ai/,https://www.google.com/s2/favicons?sz=128&domain=mappi.ai,,,,,,,,,,,0,,,,2026-07-22 09:33:00,2026-08-14 13:15:15,,,,,,"Consumer & Society, Public Research & Trust"
3003,Eduaide.ai,"Education, Workflow & Productivity, SaaS, Generative Media, Natural Language Processing",Private company,United States,"Annapolis, Maryland",2023,"Eduaide.ai is an AI-assisted lesson development and instructional design platform created by public school teachers Thomas Thompson and Thomas Hummel. Built directly inside an interactive document workspace, the platform provides K-12 educators with over 100 specialized tools for lesson planning, graphic organizer creation, assessment generation, and content differentiation—incorporating pedagogical evaluators to measure grade-level rigor and alignment with learning standards.",https://www.eduaide.ai/,https://www.google.com/search?q=https://logo.clearbit.com/eduaide.ai,,,,15,Bootstrapped / Unfunded,"MagicSchool AI, Brisk Teaching, Playlab, Diffit, Khanmigo, SchoolAI",,,"n-document AI editing workspace, Learning Commons pedagogical evaluator framework, 100+ teaching tool generators, multi-language translation suite, and curriculum alignment engines","Learning Commons, K-12 public school districts, and educational technology advisory networks",3,,,Active,2026-09-04 16:56:23,2026-09-05 12:33:01,,,,,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
3006,edX,"Education, Workflow & Productivity, SaaS, ICT, Professional Services",Subsidiary,United States,"Cambridge, Massachusetts",2012,"edX is a global massive open online course (MOOC) provider and higher education learning platform offering university courses, MicroMasters, professional certificates, and online degree programs. Originally founded as a non-profit by Harvard University and MIT, edX connects learners with higher education institutions and corporate training programs across technology, business, and humanities. In November 2021, 2U, Inc. acquired edX's commercial assets for $800 million, making edX the primary consumer platform for 2U while transitioning the open-source engine (Open edX) to the non-profit Axim Collaborative.",https://www.edx.org/,https://www.google.com/search?q=https://logo.clearbit.com/edx.org,,80,204.98,650,"Harvard University, Massachusetts Institute of Technology (MIT) (Acquired by 2U, Inc. in 2021)","Coursera, Udemy, Pluralsight, Skillshare, LinkedIn Learning, FutureLearn",Axim Collaborative (governing body for the Open edX open-source ecosystem),,"Catalog of 4,600+ university and professional courses, MicroMasters / MicroBachelors credential frameworks, and 2U university delivery platform infrastructure","Harvard University, MIT, UC Berkeley, University of Oxford, Google, IBM, Microsoft, and over 250 higher education and corporate partners",3,,,Active,2026-09-04 16:57:47,2026-09-05 12:30:43,,,,100000000,user,"Consumer & Society, Finance & Capital, Software & Delivery"
670,eKidz.eu,Education,,Germany,,,"Developer of a language learning platform that offers digital children's books, animated videos, and text-writing tools to facilitate language learning for children.",https://ekidz.eu/,https://www.google.com/s2/favicons?sz=128&domain=ekidz.eu,,,,,,,,,,,0,,,Active,2026-07-22 09:33:00,2026-08-23 17:13:46,,,,,,Consumer & Society
722,FeedbackFruits,Education,,Netherlands,,2012,"Edtech Scale-up focusing improved learning experiences in Higher Education. La proposition de valeur de FeedbackFruits repose sur la transformation des contenus de cours statiques en expériences d'apprentissage interactives et scalables, directement depuis l'interface LMS habituelle de l'enseignant (Canvas, Moodle, Blackboard, Brightspace).Sa suite d'outils (Tool Suite) adresse plusieurs piliers critiques de la pédagogie moderne :L'Évaluation et la Co-évaluation (Feedback Loops) : Des modules d'évaluation par les pairs (Peer Review), d'évaluation des membres d'un groupe (Group Member Evaluation) et d'auto-évaluation guidée (Self-Assessment).L'Engagement Documentaire (Social Annotation) : La possibilité de transformer n'importe quel document, vidéo ou fichier audio en support interactif, forçant les étudiants à répondre à des questions ou à débattre directement ""dans le texte"" pour débloquer la suite du cours.L'intégration de l'IA (Automated Feedback) : Des modules d'IA générative qui fournissent aux étudiants des retours instantanés sur la forme, la structure ou les citations de leurs rapports avant la remise finale, allégeant de 40 % la charge de correction des enseignants.La Gestion de Compétences (Learning Design) : Un outil d'analyse centralisé facilitant le suivi de l'accréditation et la détection précoce des étudiants en décrochage scolaire. odèle économique : B2B SaaS (Software-as-a-Service) sous forme de licences institutionnelles annuelles ou pluriannuelles vendues directement aux universités, grandes écoles et centres de formation. Le prix s'ajuste selon le nombre d'utilisateurs actifs (étudiants/enseignants). L'entreprise propose également un accès gratuit de base aux enseignants indépendants à travers son initiative Educators Initiative.Traction client : FeedbackFruits est adoptée par plus de 100 universités de renommée mondiale à travers le globe (comme l'Université de Melbourne, HEC Paris, l'Université de parution de Delft, ou des réseaux universitaires aux États-Unis). Elle revendique l'enrichissement de plusieurs millions de parcours de cours.",https://feedbackfruits.com/,https://www.google.com/s2/favicons?sz=128&domain=feedbackfruits.com,,,8,90,,,,,,,1,,,Active,2026-07-22 09:33:01,2026-08-23 08:09:26,,,,,,Consumer & Society
725,Fictive Reality AB,Education,,Sweden,,,Learning & Recruitment in the Metaverse,https://www.fictivereality.com/,https://www.google.com/s2/favicons?sz=128&domain=fictivereality.com,,,,,,,,,,,0,,,Active,2026-07-22 09:33:01,2026-08-23 08:09:46,,,,,,Consumer & Society
758,FruitPunch AI,"Education, Sustainability, Computer Vision, SaaS, Data",Private company,Netherlands,Eindhoven,2018,"FruitPunch AI crowd-sources AI solutions to a global community of AI enthusiasts in non-profit AI for Good challenges, offering free AI education to all and bringing the power of AI to places where resources are scarce.",https://fruitpunch.ai,https://www.google.com/s2/favicons?sz=128&domain=fruitpunch.ai,2.5,0.54,,30,Shamrock Ventures and LUMO Labs.,"Kaggle, Omdena, Topcoder, and HackerEarth.",,None,"Vetted global crowdfunded talent repository, proprietary challenge platform, and curated benchmark tasks.","Arm, NXP Semiconductors, Stanford University, World Wide Fund for Nature (WWF), and Heifer International.",1,,,Active,2026-07-22 09:33:01,2026-09-02 14:10:02,,,,4500,developers,"Artificial Intelligence, Consumer & Society, Data & Knowledge, Environment & Resources, Software & Delivery"
2989,Gizmo,"Education, Generative Media, Natural Language Processing, SaaS, Workflow & Productivity",Private company,United Kingdom,London,2021,"Gizmo is an AI-powered learning platform that transforms notes, PDFs, PowerPoint decks, and YouTube videos into gamified flashcards and interactive quizzes. Utilizing active recall and spaced repetition algorithms, Gizmo turns static study materials into engaging, bite-sized revision tools to improve long-term retention and exam performance.",https://gizmo.ai,https://www.google.com/imgres?q=gizmo%20ai&imgurl=https%3A%2F%2Fplay-lh.googleusercontent.com%2FHjvlXOOrFUwpFK72B7zbCt8MwNsIV_SdBJBRVW639jsrsScFRKsEskveMEcdZUGzjHeUQtgz9iN4M3NPy6fmWQ&imgrefurl=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dai.saveall.app%26hl%3Dfr&docid=IsXTj9YzZwhBcM&tbnid=ruvIj4meAjHsyM&vet=12ahUKEwjJ7NTYrtWWAxU3NvsDHQSKFFAQnPAOegQIOxAA..i&w=512&h=512&hcb=2&ved=2ahUKEwjJ7NTYrtWWAxU3NvsDHQSKFFAQnPAOegQIOxAA,,25.5,,150,"Shine Capital, NFX, Ada Ventures, SEEK Investments, GSV Ventures, CapitalT","Quizlet, Anki, StudySmarter, RemNote, Voovo",,,"AI flashcard generation engine, mobile/web learning apps, active recall & spaced repetition algorithm",Global student learning communities and university network ambassadors,3,,,Active,2026-09-04 09:16:24,2026-09-04 16:40:05,,,,13000000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
793,Gyde,Education,,Germany,,,"Gyde.io is a digital learning platform that focuses on enhancing the key skills of employees in organizations. The startup operates in the e-learning market, serving businesses that are keen on continuous employee development. The platform offers digital learning journeys that span 8-12 weeks, during which employees can strengthen their skills for better collaboration, increased engagement, and a more enjoyable learning experience.",https://www.gyde.io/en,https://www.google.com/s2/favicons?sz=128&domain=gyde.io,,,,,,,,,,,0,,,,2026-07-22 09:33:02,2026-08-16 14:54:39,,,,,,Consumer & Society
825,Hypocampus AB,Education,,Sweden,,,Provides a study platform according to a SaaS model,https://www.hypocampus.se/,https://www.google.com/s2/favicons?sz=128&domain=hypocampus.se,,,,,,,,,,,0,,,,2026-07-22 09:33:02,2026-08-23 08:54:20,,,,,,Consumer & Society
200,iLearningEngines,Education,,United States,,2010,"iLearningEngines is a U.S. educational technology company specializing in AI-powered adaptive learning platforms and intelligent tutoring systems for personalized education. iLearningEngines, Inc. (anciennement cotée sur le NASDAQ sous le symbole AILE) est une entreprise technologique américaine en faillite, au cœur de l'un des plus grands scandales de fraude boursière et de falsification de comptes liés à la bulle de l'intelligence artificielle. Fondée comme une plateforme d'IA pour la formation d'entreprise, la société a été liquidée après la révélation que près de 90 % de son activité était totalement fictive. La capitalisation au sommet : À la suite de son introduction en bourse au printemps 2024, l'action a culminé à un plus haut historique de 18 $, propulsant la valorisation boursière de iLearningEngines à 1,5 milliard de dollars.Le rapport Hindenburg (Août 2024) : Le célèbre vendeur à découvert Hindenburg Research a publié une enquête dévastatrice démontrant que l'entreprise n'avait aucune présence industrielle réelle, aucun utilisateur majeur et que 99,4 % de ses revenus déclarés en Inde étaient faux.Faillite et Liquidation (2024-2025) : Incapable de sécuriser de nouveaux financements après le retrait de ses auditeurs et une assignation à comparaître de la SEC, l'entreprise a déposé le bilan en décembre 2024 (Chapitre 11) avant d'être convertie en liquidation judiciaire totale (Chapitre 7) en mars 2025.Chiffre d'affaires réel vs fictif : Alors que l'entreprise déclarait fièrement un chiffre d'affaires de 421 millions de dollars pour l'année 2023, la justice américaine a confirmé qu'au moins 90 % de cette somme était purement inventée.",https://ilearningengines.com,https://www.google.com/s2/favicons?sz=128&domain=ilearningengines.com,59.29,,,,,,,,,,0,2025,Bankruptcy,Active,2026-07-22 09:09:44,2026-08-23 17:13:46,,,,,,Consumer & Society
2889,Kahoot!,Education,Private company,,,,"Utilisée par des millions d'enseignants et d'entreprises dans le monde pour animer des quiz, elle reste la référence absolue de l'apprentissage ludique.",,,1700,,,,,,,,,,1,,,Active,2026-08-23 09:24:23,2026-08-23 17:13:46,,,,,,Consumer & Society
3004,Khanmigo,"Education, Natural Language Processing, Generative Media, SaaS, Workflow & Productivity",NGO,United States,"Mountain View, California",2023,"Khanmigo is an AI-powered virtual tutor and teaching assistant developed by the non-profit organization Khan Academy. Powered by OpenAI language models, Khanmigo acts as a 1-on-1 Socratic tutor for students—guiding them through problem-solving without revealing direct answers—while offering educators tools for automated lesson planning, rubric creation, student differentiation, and progress monitoring.",https://www.khanmigo.ai/,https://www.google.com/search?q=https://logo.clearbit.com/khanacademy.org,,,,275,"Philanthropic grantmakers & strategic partners (Microsoft, OpenAI, Bill & Melinda Gates Foundation, Omidyar Network, Google.org)","MagicSchool AI, Brisk Teaching, Playlab, SchoolAI, Diffit, Eduaide.ai","White House AI and Education initiatives, 60 Minutes feature",,"Khan Academy core learning database, OpenAI GPT integration, Socratic tutoring prompt engine, Khanmigo for Teachers workflow suite","Microsoft, OpenAI, College Board, and participating public school districts",3,,,Active,2026-09-04 16:56:35,2026-09-05 11:56:36,,,,1000000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
885,KIMO,Education,,Netherlands,Amsterdam,,"Personalized Learning at Scale. KIMO.AI est née de la volonté de résoudre l'inadéquation entre les formations universitaires traditionnelles et les besoins réels du marché de la tech.Fondation : L'entreprise a été créée en 2018 à Amsterdam (Pays-Bas).Les Fondateurs : Rens ter Weijde (CEO, expert en stratégie IA et ancien consultant) et Krishna Deepak (Chief Data Scientist, spécialiste des architectures de réseaux de neurones). Ils se sont rencontrés sur les bancs de la Harvard Business School.Le Pivot IA Générative (2023-2024) : Initialement axée sur des algorithmes de recommandation classiques (semblables à un ""Netflix de l'éducation""), l'entreprise a opéré un virage technologique majeur dès 2023 en développant sa propre infrastructure de modèles de langage (LLM) pour générer des micro-cours et des exercices interactifs en temps réel. KIMO.AI propose un système d'apprentissage automatisé appelé « Smart-Path », qui élimine le besoin de concevoir manuellement des catalogues de formation :Génération de cours à la demande : L'IA extrait, vérifie et assemble des milliers de ressources gratuites du web (articles, tutoriels, vidéos) pour créer un parcours d'apprentissage structuré et unique pour chaque employé.Entraînement par ""Playgrounds"" : Pour les compétences techniques (IA, Prompt Engineering, Code), la plateforme intègre un environnement de test où l'apprenant pratique en direct et reçoit des corrections instantanées par un tuteur IA.Réduction des coûts de création : Permet aux départements RH et formation de diviser par 5 le budget de création de contenus de formation internes. KIMO.AI utilise un modèle B2B SaaS (Software-as-a-Service) à forte scalabilité :",https://www.kimo.ai/,https://www.google.com/s2/favicons?sz=128&domain=kimo.ai,60,6,8,,,,,,,,1,,,Active,2026-07-22 09:33:03,2026-08-23 17:13:46,,,,,,Consumer & Society
2994,Lecturio,"Education, EdTech, HealthTech, MedTech, Adaptive Learning Management Systems (LMS)",Private company,Germany,"Leipzig, Saxony",2008,"Lecturio is an AI-augmented healthcare education platform offering video-based courses, spaced-repetition recall quizzes, and clinical case question banks (Qbanks). Used by individual students and over 150 healthcare institutions globally, its curriculum features lectures from medical educators at institutions like Harvard, Yale, Johns Hopkins, and University College London.",https://www.lecturio.com/,https://www.google.com/search?q=https://logo.clearbit.com/lecturio.com,,45,18,125,"Sterling Partners, Inspara Partners, HV Capital (Holtzbrinck Ventures), Holtzbrinck Digital, Seventure Partners, Technological Founder's Fund Saxony","AMBOSS, Osmosis, Sketchy, Picmonic, OnlineMedEd, UWorld, ATI Testing",,"SimTutor, NEJM Healer (acquired from NEJM Group)","Catalog of 10,000+ medical video lectures, USMLE/NCLEX clinical case Q-bank, 3D anatomy models, adaptive spaced-repetition quiz engine, and institutional learning management system (LMS)","150+ medical and nursing schools worldwide, NEJM Group, University of Applied Management",3,,,Active,2026-09-04 16:53:59,2026-09-05 12:00:24,,,,1000000,user,"Consumer & Society, Health & Life Sciences"
