input_name,name_official,db_id,db_match,action,duplicate_ids,duplicate_action,duplicate_notes,website,logo_url,country,headquarter_city,founded_year,sector,organization_type,company_status,capitalization,funds_raised,revenue_millions,profit_millions,employees_count,community_size,community_unit,main_investors,main_competitors,main_acquisitions,strategic_partnerships,key_resources,founders,description,sources,confidence_notes
Heidi Health,Heidi Health,2367,existing:2367,enrich,,none,"Single match id 2367. Not Oscar Health (US insurer, absent from DB). Former names Oscer/Oscar are product/legal history only.",https://www.heidihealth.com,https://www.google.com/s2/favicons?sz=128&domain=heidihealth.com,Australia,Melbourne,2019,"HealthTech, AI model",Private company,Active,465.0,97.0,,,400,2500000,consults per week,"Point72 Private Investments, Blackbird Ventures, Headline, Latitude","Abridge, Nabla, Suki AI, Ambience Healthcare, Doctolib",,,"AI scribe, Heidi Evidence, SOC2, ISO27001","Thomas Kelly, Waleed Mussa, Yu Liu","Heidi Health (formerly Oscer/Oscar) is a Melbourne company co-founded by Dr Thomas Kelly (CEO, former vascular surgical resident), Waleed Mussa and Yu Liu. On 6 October 2025 Heidi announced a USD 65 million Series B led by Point72 Private Investments, with Blackbird, Headline and Latitude, valuing the company at USD 465 million and bringing total funding to nearly USD 100 million. The Australian Financial Review reported in August 2026 that Heidi was in talks to raise more than USD 100 million at a valuation exceeding USD 1 billion; that round was not treated as closed.
Heidi is an AI care partner / ambient scribe that turns consults into notes, letters and tasks, with a freemium model and EHR integrations. The Series B post said more than 2 million consults a week in 110 languages from 116 countries.
Existing DB row was an empty competitor stub imported from Doctolib.
Provenance: class HealthTech enrichment, September 2026.",https://www.heidihealth.com/en-ie/blog/heidi-series-b | https://www.smartcompany.com.au/startupsmart/heidi-health-98-million-raise-valuation-704-million/ | https://www.cbinsights.com/company/heidi-health | https://www.heidihealth.com/about-us/media,founded_year 2019 from CB Insights/company materials; SmartCompany says co-founded as Oscar in 2021 — 2019 retained with this note. AFR Aug 2026 unicorn talks not written as closed. funds_raised 97 ≈ 'nearly 100' / 96.6 from company post. | Company media room: 400+ employees; 2.5M consults/week; 110 languages; 190 countries (updated vs Series B 116 countries).
Huma,Huma Therapeutics Limited,2376,existing:2376,enrich,"106,1850,2880",do_not_merge,"NOT duplicates: Humain (#106, Saudi ICT), Humanoid (#1850, UK robotics), Human signal (#2880, data). Canonical HealthTech row is Huma #2376 (ex-Medopad).",https://www.huma.com,https://www.google.com/s2/favicons?sz=128&domain=huma.com,United Kingdom,London,2011,"HealthTech, AI model",Private company,Active,,300.0,,,337,,,"AstraZeneca, Leaps by Bayer, Hitachi Ventures, HAT Technology Fund 4, Eckuity Capital","Teladoc Health, Current Health, Biofourmis",Aluna (2025),"AstraZeneca, Eckuity Capital","Huma Cloud Platform, FDA 510(k) Class II, EU MDR Class IIb",Dan Vahdat,"Huma Therapeutics Limited is a London digital-health company founded by Dan Vahdat (CEO). UK company number 07725451 is consistent with a 2011 incorporation (formerly associated with Medopad). On 16 July 2024 Huma announced completion of Series D: more than USD 80 million of share issuance with that round, and more than USD 300 million raised in total, with AstraZeneca, HAT Technology Fund 4, Hitachi Ventures and Leaps by Bayer. A later company newsroom post announced a partnership with Eckuity Capital and the acquisition of Aluna.
Huma Cloud Platform is a no-code environment to configure regulated disease-management and research tools, host AI algorithms, and connect devices — described by Vahdat as 'Shopify for digital health'. The company cites FDA 510(k) Class II and EU MDR Class IIb certifications in later newsroom copy.
Customers include health systems, pharmaceutical companies and CROs. Premier Alternatives listed a USD 1.3 billion valuation as of February 2026 — aggregator only, so capitalization is left empty.
Provenance: class HealthTech enrichment, September 2026.",https://www.huma.com/newsroom/press-release-series-d-launches-huma-cloud-platform-genai | https://www.huma.com | https://ukcapitalintelligence.co.uk/companies/huma-therapeutics/ | https://www.huma.com/newsroom/huma-announces-partnership-with-eckuity-capital-to-accelerate-m-a-and-acquires-aluna | https://pomanda.com/company/07725451/medopad-ltd | https://explore.datagardener.com/company/huma-therapeutics-limited-07725451,"Existing DB was a Corti-competitor stub. funds_raised 300 from official 'over USD 300m'. capitalization empty: 1.3B is a secondary-market aggregator. founded_year 2011 from UK company record, not restated on the Series D PR. | Aluna (Knox Medical Diagnostics) acquired 16 May 2025 per Huma newsroom. 70-country footprint claimed on same page. | employees_count 337 from UK company accounts (Huma Therapeutics Limited 07725451, year to 31 Dec 2024 / Pomanda-DataGardener). Revelio Mar 2026 lists ~450; older GlobalDatabase 197 — 337 used as statutory filing figure."
Suki AI,Suki,2599,existing:2599,enrich,,none,Single match id 2599. Suno AI / SkimAI / SUMM AI are unrelated.,https://www.suki.ai,https://www.google.com/s2/favicons?sz=128&domain=suki.ai,United States,Redwood City,2017,"HealthTech, AI model, Voice & Audio AI",Private company,Active,500.0,168.0,,,413,,,"Hedosophia, Venrock, First Round Capital, March Capital, Flare Capital Partners, Breyer Capital, Zoom Ventures, Philips Ventures","Abridge, Ambience Healthcare, Nabla, Microsoft",,"Zoom, Philips","Suki Assistant, Suki Platform (partner SDK)",Punit Soni,"Suki is a Redwood City company founded in 2017 by Punit Soni (CEO). In October 2024 it raised a USD 70 million Series D (Sacra: led by Hedosophia). On 30 January 2025 Suki announced a strategic investment from Zoom Ventures, stating total capital raised of USD 168 million, following a partnership to put Suki notes into Zoom Workplace for Clinicians.
Suki Assistant is an AI voice / ambient documentation product for clinicians; Suki also licenses Suki Platform to other vendors. The Zoom press release said clinicians complete notes 72 percent faster on average.
Sacra estimates valuation at about USD 500 million after the Series D. Tracxn listed about 413 employees as of June 2026. Existing DB row was a Corti-competitor stub.
Provenance: class HealthTech enrichment, September 2026.",https://www.suki.ai/press-releases/suki-announces-investment-from-zoom-ventures/ | https://sacra.com/c/suki/ | https://www.suki.ai | https://linkedin.com/company/sukihq,"capitalization 500 is Sacra estimate, not a company disclosure. funds_raised 168 from official Zoom PR. Voice & Audio AI added as a second canonical label in addition to HealthTech. | LinkedIn company page lists 272 employees vs Tracxn 413 (Jun 2026). 413 kept as previously used Tracxn figure; LinkedIn 272 recorded here as conflicting aggregator."
PathAI,PathAI,2512,existing:2512,enrich,,none,"Single match id 2512. LinkedIn parent F. Hoffmann-La Roche Ltd. is forward-looking (deal announced May 2026, close H2 2026) — company_status stays Active.",https://www.pathai.com,https://www.google.com/s2/favicons?sz=128&domain=pathai.com,United States,Boston,2016,"MedTech, Computer Vision",Private company,Active,750.0,255.0,,,200,,,"General Catalyst, General Atlantic, Tiger Global Management","Paige AI, Ibex Medical Analytics, Aignostics, Roche",Poplar (2021),Roche,"AISight Dx, digital pathology models","Andrew Beck, Aditya Khosla","PathAI is a Boston digital-pathology company co-founded in 2016 by Andrew Beck (CEO, former Harvard Medical School pathologist) and Aditya Khosla. It raised about USD 255 million of venture capital (Tracxn). Roche partnered with PathAI from 2021. On 7 May 2026 Roche announced a definitive agreement to acquire PathAI for USD 750 million upfront plus up to USD 300 million in milestones, expected to close in the second half of 2026, after which PathAI would join Roche Diagnostics.
PathAI builds AI models to analyse pathology slides for clinical labs and biopharma companion-diagnostic work.
Until close it remains a private independent company selling to labs and life-science customers. Boston Globe cited about 200 employees at announcement. company_status kept Active because the deal had not closed on pages consulted.
Provenance: class HealthTech enrichment, September 2026.",https://www.roche.com/media/releases/med-cor-2026-05-07 | https://www.medtechdive.com/news/roche-to-acquire-digital-pathology-firm-pathai-for-up-to-105b/819589/ | https://www.bostonglobe.com/2026/05/17/business/massachusetts-artificial-intelligence-startup-deal/ | https://www.pathai.com | https://www.linkedin.com/company/pathai,"capitalization 750 = Roche upfront cash, not a VC round. Earnout up to 300 not included. Existing DB was a Paige AI competitor stub. employees 200 from Boston Globe; Tracxn 283 — 200 used as deal-time press figure. | LinkedIn lists PathAI acquired Poplar (2021-07-26) and ~211 employees. Boston Globe used ~200 at Roche announcement. | Sector split applied: HealthTech = hospital/practice workflow software (EHR, scribe, booking, RPM, telehealth, physician network); MedTech = diagnostic/therapeutic devices and imaging-pathology AI. A firm gets one of the two, not both. Previous sector: HealthTech, Biotech."
Lunit,Lunit Inc.,2985,existing:2985,enrich,,none,Single match id 2985. LUCIS/Luzia unrelated.,https://www.lunit.io,https://www.google.com/s2/favicons?sz=128&domain=lunit.io,South Korea,Seoul,2013,"MedTech, Computer Vision",Publicly traded company,Active,496.0,,66.0,,278,,,,"Aidoc, Qure.ai, HeartFlow, Harrison.ai",,"AstraZeneca, Agilent Technologies, Daiichi Sankyo","Lunit INSIGHT, Lunit SCOPE, KOSDAQ 328130",Beomseok Brandon Suh,"Lunit Inc. is a Seoul medical-AI company founded in 2013; CEO is Beomseok Brandon Suh. It listed on KOSDAQ (ticker 328130). Products include Lunit INSIGHT for cancer screening on chest X-ray and mammography, and Lunit SCOPE for oncology biomarkers, with collaborations cited with AstraZeneca, Agilent and Daiichi Sankyo.
The company sells software to hospitals and life-science partners. Stockanalysis listed TTM revenue of KRW 91.82 billion (about USD 66 million at 1380 KRW/USD) and market cap about KRW 684 billion (~USD 496 million) as of late July 2026. Seoul Economic Daily reported first-half 2026 revenue of KRW 45.77 billion, 95 percent overseas, with a still-negative operating result.
Provenance: class HealthTech enrichment, September 2026.",https://www.lunit.io | https://stockanalysis.com/quote/kosdaq/328130/company/ | https://stockanalysis.com/quote/kosdaq/328130/market-cap/ | https://en.sedaily.com/finance/2026/08/11/lunit-posts-record-first-half-revenue-of-458-billion-won,"capitalization 496 and revenue_millions 66 use FX 1380 KRW per USD on Stockanalysis KRW figures (22-23 Jul 2026). FX moves daily. funds_raised left empty for a listed company. employees not confirmed. Existing DB had no website or financials. | Employees 278 from Revelio Mar 2026 (aggregator). Partnerships from Stockanalysis company profile. | Sector split applied: HealthTech = hospital/practice workflow software (EHR, scribe, booking, RPM, telehealth, physician network); MedTech = diagnostic/therapeutic devices and imaging-pathology AI. A firm gets one of the two, not both. Previous sector: HealthTech, MedTech."
Innovaccer,Innovaccer Inc.,1944,existing:1944,enrich,,none,Single match id 1944. Replace Tracxn logo/website.,https://www.innovaccer.com,https://www.google.com/s2/favicons?sz=128&domain=innovaccer.com,United States,San Francisco,2014,"HealthTech, Data, AI model",Private company,Active,3450.0,675.0,,,1416,,,"B Capital Group, M12, Kaiser Permanente, Banner Health, Danaher Ventures, Generation Investment Management, Mubadala Capital","Health Catalyst, Epic Systems, Oracle Health, Datavant","Cured (2024), Pharmacy Quality Solutions (2024), Humbi AI (2025), Story Health (2025), CaduceusHealth (2026)","Kaiser Permanente, Banner Health, Databricks, Snowflake, AMGA","Gravity, Atlas, Galaxy, Flow, Agents of Care","Abhinav Shashank, Kanav Hasija, Sandeep Gupta","Innovaccer was founded in 2014 by Abhinav Shashank (CEO), Kanav Hasija and Sandeep Gupta, and is headquartered in San Francisco. Wikipedia and contemporary press describe three phases: unifying EHR/claims data, applications for value-based care, then agentic AI. On 9 January 2025 Innovaccer announced a USD 275 million Series F (primary and secondary) with B Capital, Banner Health, Danaher Ventures, Generation IM, Kaiser Permanente and M12, taking total funding to USD 675 million. TechCrunch cited a post-money valuation of about USD 3.45 billion.
The Healthcare Intelligence Cloud (Gravity and related apps) unifies clinical and claims data and deploys AI agents for prior auth, coding, care management and contact centers. Acquisitions include Cured (2024), Pharmacy Quality Solutions (2024), Humbi AI (2025) and Story Health (2025).
Customers named in company materials include CommonSpirit Health, Kaiser Permanente and Banner Health. Existing DB website pointed at Tracxn and sector was only 'AI model'; both should be corrected.
Provenance: class HealthTech enrichment, September 2026.",https://www.businesswire.com/news/home/20250109241872/en/Innovaccer-Secures-%24275M-in-Series-F-to-Scale-its-Healthcare-Intelligence-Cloud | https://techcrunch.com/2025/01/09/innovaccer-aims-to-become-healthcares-ai-powerhouse-with-275m-series-f/ | https://en.wikipedia.org/wiki/Innovaccer | https://www.innovaccer.com | https://linkedin.com/company/innovaccer,"Replace DB website tracxn.com with innovaccer.com. capitalization 3450 is TechCrunch source-familiar-with-deal, not in the Business Wire. funds_raised 675 official. Existing DB funds_raised 675 already matched. | LinkedIn 1416 employees (Revelio 2515 and Tracxn 1167 disagree — 1416 used as named company page). HQ 101 Mission Street, San Francisco; large Noida office."
Teladoc Health,"Teladoc Health, Inc.",,new,create,,none,NEW. No Teladoc/Livongo/BetterHelp enterprise row. Do not confuse with independent BetterHelp brand — it is a Teladoc segment.,https://www.teladochealth.com,https://www.google.com/s2/favicons?sz=128&domain=teladochealth.com,United States,New York,2002,HealthTech,Publicly traded company,Active,1660.0,,2530.0,-200.0,5600,100000000,US members (company-reported),,"Amwell, Doximity, Included Health, K Health, Huma","Livongo (2020, ~18500 cash-and-stock)",,"Integrated Care, BetterHelp","G. Byron Brooks, Michael Gorton","Teladoc Health, Inc. (NYSE: TDOC) was founded in 2002 in Dallas by G. Byron Brooks and Michael Gorton and later scaled nationally; Jason Gorevic became CEO in 2009 and Chuck Divita III in June 2024. Wikipedia says headquarters moved to New York City in 2023. The SEC annual report lists 155 East 44th Street, Suite 1700, New York.
Teladoc is a virtual-care company with two segments, Integrated Care (B2B virtual primary, chronic and mental health for employers, plans and systems) and BetterHelp (direct-to-consumer mental health).
Full-year 2025 revenue was USD 2,530.0 million (down 2 percent year on year) with a net loss of USD 200.3 million, per the 25 February 2026 earnings release. Tipranks listed market cap about USD 1.66 billion as of 1 August 2026. PitchBook listed about 5,600 employees as of 2025.
Provenance: class HealthTech enrichment, September 2026.",https://en.wikipedia.org/wiki/Teladoc_Health | https://www.globenewswire.com/de/news-release/2026/02/25/3245019/0/en/Teladoc-Health-Reports-Fourth-Quarter-and-Full-Year-2025-Results.html | https://www.tipranks.com/stocks/tdoc/market-cap | https://www.teladochealth.com | https://ir.teladochealth.com/news-and-events/investor-news/press-release-details/2020/Teladoc-Health-Completes-Merger-with-Livongo/default.aspx | https://www.fiercehealthcare.com/finance/teladoc-finalizes-blockbuster-deal-livongo-less-than-three-months,"Not in enterprises table at query time. capitalization 1660 is a point-in-time market cap (volatile). profit_millions -200 is FY2025 net loss. employees 5600 PitchBook 2025. | Livongo merger closed 30 Oct 2020 at about USD 18.5B cash-and-stock (Fierce). Wikipedia: 100M+ US members. HQ 155 E 44th St, New York (SEC)."
Doximity,"Doximity, Inc.",,new,create,,none,NEW. No Doximity/Docsimity row.,https://www.doximity.com,https://www.google.com/s2/favicons?sz=128&domain=doximity.com,United States,San Francisco,2010,HealthTech,Publicly traded company,Active,4760.0,82.0,645.0,196.0,880,3000000,registered members,"Morgenthaler, DFJ, T. Rowe Price","Sermo, Docplanner, LinkedIn, OpenEvidence","AmiOn (2022), Pathway (2025), Curative (2020)",,"physician network, Ask AI, Scribe, AMiON, telehealth","Jeff Tangney, Nate Gross, Shari Buck","Doximity, Inc. (NYSE: DOCS) was incorporated in Delaware in April 2010 as 3MD Communications, Inc. and renamed Doximity in June 2010. Co-founder Jeff Tangney is CEO; HQ is 500 3rd Street, Suite 510, San Francisco. The company IPO'd on 24 June 2021.
Doximity is a digital network for U.S. clinicians (news, collaboration, telehealth, career tools, and a Clinical AI suite). FY2026 materials said more than 85 percent of U.S. physicians are on the network and more than 800,000 active prescribers.
Stockanalysis listed FY2026 revenue USD 644.86 million and earnings USD 196.05 million, 880 employees, and market cap about USD 4.76 billion. Tracxn listed about USD 81.9 million of pre-IPO funding.
Provenance: class HealthTech enrichment, September 2026.",https://investors.doximity.com/news/news-details/2026/Doximity-Announces-Fourth-Quarter-and-Fiscal-Year-2026-Financial-Results/default.aspx | https://stockanalysis.com/stocks/docs/ | https://www.sec.gov/Archives/edgar/data/1516513/000151651326000034/annualreporttoshareholder-.pdf | https://www.doximity.com | https://stockanalysis.com/stocks/docs/company/ | https://tracxn.com/d/companies/doximity/__9XU4G07PHNrnSbfUw-H5s_jWZrM_WShcwu0pJq8alNc,"Not in enterprises table at query time. Market cap 4760 is point-in-time. FY is April-March. profit_millions 196 is FY2026 earnings from Stockanalysis. funds_raised 82 is pre-IPO VC (Tracxn), not meaningful post-IPO. | 10-K: 3M+ registered members; 85% of US physicians. Tracxn acquisitions AmiOn, Pathway, Curative. FY2026 employees 880 (company) vs Tracxn 912."
Hippocratic AI,Hippocratic AI,,new,create,,none,NEW. No Hippocratic/Hippocrates row.,https://www.hippocraticai.com,https://www.google.com/s2/favicons?sz=128&domain=hippocraticai.com,United States,Palo Alto,2023,"HealthTech, AI model, Agentic",Private company,Active,1640.0,278.0,,,235,180000000,clinical interactions (LinkedIn company page),"Kleiner Perkins, Andreessen Horowitz, General Catalyst, Premji Invest, NVentures, SV Angel, Universal Health Services, WellSpan Health","K Health, Teladoc Health, OpenEvidence, Infinitus",,,"healthcare LLM, patient-facing non-diagnostic agents",Munjal Shah,"Hippocratic AI was co-founded in 2023 in Palo Alto by CEO Munjal Shah with clinicians and AI researchers from El Camino Health, Johns Hopkins, Stanford, Microsoft, Google and NVIDIA. On 9 January 2025 a Business Wire release said the company closed a USD 141 million Series B led by Kleiner Perkins at a USD 1.64 billion valuation, bringing total funding to USD 278 million, with a16z, General Catalyst, Premji, NVIDIA, SV Angel, UHS and WellSpan participating.
The company builds patient-facing generative AI agents for non-diagnostic clinical tasks (it states agents do not diagnose or prescribe) sold to health systems, payors and pharma.
LinkedIn company data later listed USD 402 million total funding and about 235 employees; those later rounds were not used to overwrite the January 2025 official totals. Revenue USD 76 million on LinkedIn is an aggregator figure and is left out of revenue_millions.
Provenance: class HealthTech enrichment, September 2026.",https://www.businesswire.com/news/home/20250109643850/en/Hippocratic-AI-Completes-%24141MM-Series-B-Financing-Round-Led-by-Kleiner-Perkins-Valuing-the-Company-at-%241.64B | https://www.reuters.com/technology/artificial-intelligence/hippocratic-ai-valued-164-billion-after-series-b-round-2025-01-09/ | https://techcrunch.com/2025/01/09/hippocratic-ai-raises-141m-for-creating-patient-facing-ai-agents/ | https://www.hippocraticai.com | https://www.crunchbase.com/organization/hippocratic-ai | https://www.generalcatalyst.com/stories/hippocratic-ai,"Not in enterprises table. capitalization 1640 and funds_raised 278 from official Series B (Jan 2025). Some 2025-2026 blogs mention a later Series C at USD 3.5B — not confirmed on a Hippocratic press page in this pass, so not used. employees 235 from LinkedIn company page. | LinkedIn company page: 180M+ clinical interactions, 235 employees, USD 76M revenue (aggregator — revenue still omitted). Series C at 3.5B still unconfirmed on a company PR in this pass. | Merged colleague recap: same funds_raised 278; colleague investors are a subset of the Series B list already stored. Colleague description not used (ours is more sourced)."
Viz.ai,Viz.ai,,new,create,2047,do_not_merge,"HOMONYM ONLY: VIZZIA (#2047, France, Computer Vision, is_validated=3) is a different company. Viz.ai is US/Israel stroke and acute-care coordination. Create a new row; do not overwrite VIZZIA.",https://www.viz.ai,https://www.google.com/s2/favicons?sz=128&domain=viz.ai,United States,San Francisco,2016,"MedTech, Computer Vision",Private company,Active,1200.0,289.0,,,,1000,hospitals (2022 Series D disclosure),"Tiger Global, Insight Partners, Kleiner Perkins, GV, CRV, Scale Venture Partners, Greenoaks, CIBC Innovation Banking, Threshold Ventures","Aidoc, Qure.ai, HeartFlow, RapidAI",,,"Viz Platform, neurovascular and PE imaging AI, Medicare reimbursement pathway","Chris Mansi, David Golan","Viz.ai was founded in 2016 by neurosurgeon Dr Chris Mansi and machine-learning researcher Dr David Golan after delays in stroke care. The company is based in San Francisco with additional sites historically in Tel Aviv and Europe. On 7 April 2022 Viz.ai announced a USD 100 million Series D led by Tiger Global and Insight Partners at a USD 1.2 billion valuation, with more than 1,000 hospitals on the platform. CB Insights lists a USD 40 million Series D-II with CIBC Innovation Banking on 22 March 2023 and about USD 289 million raised in total.
Viz.ai sells an AI care-coordination platform that analyses imaging (initially large-vessel occlusion stroke, later PE, aortic and other acute conditions) and alerts multidisciplinary teams. Medicare created a reimbursement pathway for its software, cited in company and Sacra materials.
No newer primary valuation than 2022 was found; 1200 is therefore a stale round mark, not a 2026 mark-to-market.
Provenance: class HealthTech enrichment, September 2026.",https://www.viz.ai/our-story | https://www.businesswire.com/news/home/20220407005351/en/Viz.ai-Raises-100-Million-in-Series-D-Funding-Led-by-Tiger-Global-and-Insight-Partners-at-1.2-Billion-Valuation | https://www.cbinsights.com/company/vizai/financials | https://www.viz.ai/ | https://www.viz.ai/company | https://www.crunchbase.com/organization/viz-ai | https://www.insightpartners.com/ideas/viz-ai/,"Not in enterprises table (do not confuse with VIZZIA). capitalization 1200 is April 2022 Series D — four years stale. funds_raised 289 from CB Insights. employees not confirmed. | Hospital count 1000+ is from April 2022 Series D PR — likely understated in 2026 but no newer official census used. | employees_count left empty: aggregator range 275 (Awaira) / 312 (Latka Nov 2025) / 327 (LeadIQ May 2026) / 365 (Revelio Mar 2026) with no company filing. | Sector split applied: HealthTech = hospital/practice workflow software (EHR, scribe, booking, RPM, telehealth, physician network); MedTech = diagnostic/therapeutic devices and imaging-pathology AI. A firm gets one of the two, not both. Previous sector: HealthTech, MedTech. | Colleague recap funds_raised_usd=400000000 (400 in millions) NOT used; kept CB Insights 289. Colleague sector HealthTech overwritten by MedTech, Computer Vision. Added Threshold Ventures from colleague investor list."
Butterfly Network,"Butterfly Network, Inc.",,new,create,,none,NEW. No Butterfly Network row. Short name Butterfly not present.,https://www.butterflynetwork.com,https://www.google.com/s2/favicons?sz=128&domain=butterflynetwork.com,United States,Burlington,2011,"MedTech, Hardware",Publicly traded company,Active,2180.0,,97.6,-77.1,220,30,countries with commercial sales (10-K FY2025),,"GE HealthCare, Philips, Siemens Healthineers, Clarius",,"Midjourney, Aleph Neuro, Bill and Melinda Gates Foundation","Ultrasound-on-Chip, Butterfly iQ3, Compass AI",Jonathan Rothberg,"Butterfly Network was founded in 2011 by Jonathan Rothberg around semiconductor ultrasound (Ultrasound-on-Chip). It later listed on the NYSE as BFLY (SPAC 2021). Yahoo Finance lists headquarters in Burlington, Massachusetts; the colleague recap had Guilford (historical Connecticut site).
The company sells handheld whole-body ultrasound probes (iQ+ / iQ3) plus cloud software and Compass AI workflow tools to clinicians, hospitals and veterinary users.
Revenue comes from device sales and software subscriptions. Yahoo Finance (early September 2026) showed about USD 2.18 billion market cap and 220 employees; TradingView listed about USD 2.29 billion the same week — 2180 used as the Yahoo print. SEC 10-K for the year ended 31 December 2025 reported USD 97.6 million of revenue and a USD 77.1 million net loss; about 220 employees as of 31 January 2026; commercial sales in more than 30 countries.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://www.butterflynetwork.com/ | https://en.wikipedia.org/wiki/Butterfly_Network | https://finance.yahoo.com/quote/BFLY/ | https://www.morningstar.com/news/business-wire/20260730253801/butterfly-network-reports-second-quarter-2026-financial-results | https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm | https://ir.butterflynetwork.com/News/press-releases/news-details/2026/Butterfly-Network-Reports-Fourth-Quarter-2025-Financial-Results/default.aspx,"Colleague recap had empty funds and Guilford HQ. HQ Burlington from Yahoo Finance. capitalization 2180 is a live public print (Yahoo ~2178; TradingView 2290 same week) — volatile. employees 220 from Yahoo/TradingView FY. funds_raised left empty (public SPAC, no clean VC total used). Sector MedTech not HealthTech: imaging hardware. | FY2025 10-K: revenue 97.6, net loss 77.1, ~220 employees at 31 Jan 2026, sales in 30+ countries. Midjourney Embedded co-dev contributed USD 6.8M in Q4 2025 (up to 74 over five years). main_investors left empty (public NYSE BFLY)."
Cera,Cera Care,,new,create,"132,479",do_not_merge,"HOMONYMS ONLY: Cyera #132 (US, Data/IT Security) and Cara Care #479 (Germany, MedTech). Cera Care is UK home healthcare.",https://www.cera.care,https://www.google.com/s2/favicons?sz=128&domain=cera.care,United Kingdom,London,2016,HealthTech,Private company,Active,1000.0,407.0,500.0,,13000,3000000,monthly home-care visits (company LinkedIn 2025),"BDT and MSD Partners, Schroders Capital, Kairos, Vanderbilt Endowment, yabeo, Evolve Healthcare Partners","Home Instead, Care UK, Honor, Birdie","First City Nursing Services (2025), Care at Home Services (2025)",NHS Integrated Care Systems,"in-home care operations, predictive analytics, NHS contracts","Ben Maruthappu, Martin Mignot","Cera was founded in the United Kingdom in 2016 by Ben Maruthappu and Martin Mignot as a technology-enabled home-care provider. On 13 January 2025 Cera announced a transaction in excess of USD 150 million led by BDT & MSD Partners and Schroders Capital (mostly debt per TechCrunch). Forbes and Tech Funding News described a valuation above USD 1 billion.
Cera combines home-care professionals with digital tools and predictive analytics to identify deterioration, coordinate visits and reduce avoidable hospital admissions, selling care packages to public-sector and private customers.
TechCrunch reported more than USD 407 million raised to date in mixed equity and debt after the January 2025 package. In May 2025 Cera said it had reached about USD 500 million of annualised revenue, about 2.5 million home visits a month and more than 10,000 carers and nurses; a later company LinkedIn post cited 3 million monthly visits and 13,000 carers.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://www.cera.care/ | https://www.cerahq.com/newsroom/cera-secures-over-%24150-million-in-funding | https://techcrunch.com/2025/01/12/uk-in-home-healthcare-provider-cera-raises-150m-to-expand-its-ai-platform/ | https://www.forbes.com/sites/trevorclawson/2025/01/31/a-uk-healthtech-unicorn-says-ai-can-cut-hospitalisations/ | https://uktechnews.co.uk/2025/05/12/cera-delivers-one-patient-home-visit-every-second-as-it-reaches-c-500-million-in-annualised-revenues/ | https://pitchbook.com/profiles/company/164366-47,"Colleague recap had empty funds. funds_raised 407 from TechCrunch Jan 2025 (equity+debt). Healthcare Today/Crunchbase cited 557 — not used. capitalization 1000 is a unicorn floor from Forbes/TFN, not a marked round. NOT Cyera (#132, US cybersecurity) and NOT Cara Care (#479, Germany MedTech). | revenue 500 is company-stated annualised USD May 2025 (UK Tech News), not a statutory P&L. employees 13000 from Cera LinkedIn company post (carers and nurses); UK accounts Tracxn 9344 at 31 Dec 2024; Revelio 1522 is likely office staff only. PitchBook lists Dec 2025 acquisitions First City Nursing and Care at Home."
Insitro,insitro,,new,create,,none,NEW. No insitro row. Case-insensitive match only.,https://insitro.com,https://www.google.com/s2/favicons?sz=128&domain=insitro.com,United States,South San Francisco,2018,"Biotech, AI model",Private company,Active,,800.0,,,262,,,"Andreessen Horowitz, ARCH Venture Partners, Third Rock Ventures, GV, SoftBank, CPP Investments, Foresite Capital, Casdin Capital, BlackRock, Temasek, T. Rowe Price","Recursion, Exscientia, BenevolentAI, Generate Biomedicines",Haystack Sciences (2020),"Bristol Myers Squibb, Eli Lilly, Gilead","ML-driven drug discovery, high-throughput biology",Daphne Koller,"insitro was founded in 2018 by Daphne Koller to combine machine learning with drug discovery. Colleague recap and Crunchbase-style profiles report about USD 743 million raised, including a large 2021 financing.
The company uses machine learning, biological data and high-throughput experiments to identify targets and molecules and to improve clinical-development prediction.
Go-to-market is a biopharma model: internal pipeline plus pharma partnerships — not hospital or radiology software. Official company boilerplate in March 2026 cited about USD 800 million of capital and collaboration revenue from BMS, Lilly and Gilead. Haystack Sciences was acquired in 2020 to add high-throughput chemistry.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://insitro.com/ | https://insitro.com/about | https://www.crunchbase.com/organization/insitro | https://www.businesswire.com/news/home/20260323768268/en/insitro-and-Bristol-Myers-Squibb-Collaboration-Expanded-with-Nomination-of-New-Targets | https://observer.com/2026/07/daphne-koller-on-why-insitro-skipped-biotechs-shortcut/ | https://www.fiercebiotech.com/medtech/insitro-raises-400m-for-machine-learning-powered-drug-discovery-efforts,"Colleague labeled HealthTech; reclassified Biotech (drug discovery, not hospital/cabinet software and not imaging MedTech). funds_raised 743 kept from colleague recap (USD 743000000). capitalization empty (round marks not independently re-verified). | funds_raised 800 from official March 2026 Business Wire boilerplate (~USD 800M capital), replacing colleague 743. TechStackIPO Series D USD 350M at USD 5.2B (Jun 2026) NOT used — no company PR found. capitalization left empty. employees 262 from Latka Nov 2025 aggregator. Partners BMS, Lilly, Gilead from Observer Jul 2026 and BMS PR."
