canonical_label,group,alias_terms,keyword_terms,description,domain
Document AI,Sector Applications,Document Management|GED|OCR,document ai|document management|document,Document intelligence and processing.,Data & Knowledge
Drone & UAV,Industry & Mobility,Drone|UAV,drone|uav,Uncrewed aerial systems.,Mobility Space & Defence
Education,Sector Applications,EdTech|EduTech|Edu,education|edtech|learning|tutoring,Education and learning technologies.,Consumer & Society
Energy & ClimateTech,Sector Applications,ClimateTech|Clean Tech|Energy,energy|climate|green tech|clean tech|utilities,Energy climate and environmental technologies.,Environment & Resources
Financial Services,Business Functions,FinTech|Finance|Payment|Insurance|Risk Management|Credit scoring|Transaction Protection,finance|fintech|banking|payment|insurance|trading,Financial products and services.,Finance & Capital
Gaming,Sector Applications,Games,gaming|game,Games and interactive entertainment.,Consumer & Society
Generative Media,AI & Data,Image generation|Creative AI|Music|Editing,video|creative ai|digital art|image generation|generative media,Generated visual and creative media.,Artificial Intelligence
Hardware,Infrastructure & Engineering,CPU,cpu|chip|processor|accelerator|hardware|electronic|lithography,Computing and physical hardware.,Compute & Infrastructure
HealthTech,Sector Applications,Health|Healthcare AI|Heath tech|Cardio|Oncology|Diabet|Neurology|neurology|Radiology|Dermato,healthtech|healthcare|health care|medical ai|care tech|cardio|dental|radiology,Digital health and care technologies.,Health & Life Sciences
HRM,Business Functions,HR|Recruiting|Training|Inclusion,human resources|recruit|hrm,Human resources and recruiting.,Commercial Functions
ICT,Infrastructure & Engineering,Software,software|ict,General information and communication technologies.,Software & Delivery
IT & Security,Public Research & Trust,Cybersecurity|Cyber Security|Security|Privacy,cyber|security|identity|data protection,Information technology and cybersecurity.,Public Research & Trust
Industrial & Manufacturing,Industry & Mobility,Industrial|Manufacturing|Predictive maintenance,manufacturing|industrial|factory|assembly|cad|cam|engineering simulation,Industrial production and manufacturing.,Industry & Manufacturing
Inference & Model Serving,AI & Data,Inference|Model Serving,inference|model serving|api|ml infrastructure,Model deployment and inference systems.,Compute & Infrastructure
Infrastructure,Infrastructure & Engineering,Datalake|edge AI|Acceleration,infrastructure|datalake,Data and technical infrastructure.,Compute & Infrastructure
LegalTech,Business Functions,Legal tech|LawTech,legal|lawtech|compliance,Legal services and compliance technology.,Public Research & Trust
Logistics & Supply Chain,Industry & Mobility,Logistics|Supply Chain,logistics|supply chain|shipping|freight,Logistics procurement and supply chains.,Mobility Space & Defence
Marketing,Business Functions,SEO|Marketing Research,marketing|seo|brand|campaign,Marketing technology and brand operations.,Commercial Functions
Media & Entertainment,Sector Applications,Media|Entertainment,entertainment|media|publishing|news|sports,Media content and entertainment.,Consumer & Society
MedTech,Sector Applications,Med tech|Medical Tech|Brain Interface,medtech|med tech|medical tech,Medical devices and clinical technology.,Health & Life Sciences
Mobility & Transport,Industry & Mobility,Mobility|Transport,mobility|transport|autonomous vehicle|truck,Transport mobility and autonomous vehicles.,Mobility Space & Defence
Natural Language Processing,AI & Data,NLP,nlp|conversational|translation|langops|search,Language and conversational systems.,Artificial Intelligence
Naval,Industry & Mobility,Marine,naval|maritime|marine,Naval and maritime technologies.,Mobility Space & Defence
Operations,Industry & Mobility,Ops|Observability,operations|procurement|purchasing|ops,Operational processes and maintenance.,Industry & Manufacturing
Professional Services,Business Functions,Consulting|Consultancy,professional|consulting|business services|technical services,Professional and advisory services.,Finance & Capital
Public Sector,Public Research & Trust,Government,public sector|government|public administration|social security,Government and public administration.,Public Research & Trust
Quantic,AI & Data,,quantum|quantic,Quantum computing and quantum AI technologies.,Compute & Infrastructure
R&D,Public Research & Trust,Research,research|r&d|innovation,Research and development.,Public Research & Trust
RAG,AI & Data,Rag,retrieval augmented generation|rag,Retrieval-augmented generation systems.,Artificial Intelligence
Real Estate & PropTech,Sector Applications,PropTech|Real Estate,real estate|proptech|property,Real estate and property technology.,Consumer & Society
Retail & E-commerce,Sector Applications,Retail|E-commerce,retail|e-commerce|marketplace,Retail commerce and marketplaces.,Consumer & Society
Robotics,Industry & Mobility,Robotics|Humanoid|Physical AI,robot,Robotic systems.,Industry & Manufacturing
SaaS,Business Model,Saas|Software as a Service|Cloud Software,saas|software as a service|subscription software,Software delivered as a subscription service.,Software & Delivery
Sales,Business Functions,CRM,sales|crm|lead generation|go-to-market,Sales and commercial enablement.,Commercial Functions
Semiconductors,Infrastructure & Engineering,Semiconductor|GPU|Photonic,semiconductor|gpu|photonic,Semiconductor technologies.,Compute & Infrastructure
Spatial Computing,Industry & Mobility,Extended Reality|VR/AR,spatial|extended reality|virtual reality|augmented reality,Spatial and immersive computing.,Software & Delivery
Sustainability,Sector Applications,,sustainability|sustainable development,Sustainability-focused technologies and applications.,Environment & Resources
Venture Capital,Business Functions,Venture Capital,venture|private equity|hedge fund|asset management|investment company|investment management|angel investment,Investment and venture capital.,Finance & Capital
Voice & Audio AI,AI & Data,Audio AI|Sound|Voice|Sound Voice,voice|audio|sound|speech,Speech audio and sound AI.,Artificial Intelligence
Workflow & Productivity,Infrastructure & Engineering,Workflow|Productivity,workflow|productivity|enterprise software|erp|collaboration,Workflow and productivity software.,Software & Delivery
